Q,Category,K1,K2,K3,K4,A
次のうち、「食中毒」と同じ意味で使われる言葉は何2,理系,食あたり,食なし,食あり,食はずれ,食あたり
ものの順序を表す数のことを、特に何という ?         「,理系,DEATH数,Q数,序数,破数,序数
日食のときに、太陽を隠す天体は円時,理系,金星,直星,月,ダークマター,月
次のうち、インフルエンザの病原体はどれ2?,理系,インフルエンザウイルス,インフルエンザ菌,インフルエンザアメーバ,インフルエンザ原申,インフルエンザウイルス
ヒトの結腸の末端部分のことを、その形状から何という 2,理系,R字結腸,Q字結腸,T字結腸,S字結腸,S字結腸
のア:さエミさりまっ0時 もうしよう)】たすずれ 2?,理系,秒速5m,秒速Scm,秒速5Skm,秒速5mm,秒速5Skm
アルファベットで表す時間の単位で、「秒」は「S」、分は「M」ですが、「時」は何 ?,理系,F,L,N,H,H
「ビピタゴラスの定理」の別名を持つ「三在方の定理」が使われるのは、次のうちどんな図形 ?,理系,台形,直角三角形,正方形,円,直角三角形
「アカ」 !「アオ」 「ヒメ」などの種半がいる、オールのように変化した手足が特徴の上過申類は何 ?,理系,ウミガメ,ヤマガメ,リクガメ,ヌメマガメ,ウミガメ
「グリーン」など700種類以上がいる、原始的なトカゲの仲間は何 ?,理系,ダイアナ,マリアナ,女子アナ,イグアナ,イグアナ
ID2ss【のとHIIESYのEッ9472 ryあっらみや頭痛などが起こる症状を何という ?,理系,貧血,寺帳,只血,止血,貧血
次の元素のうち、頭に「パ」をつけると、別の元素の名前になるものはとれ?,理系,リチウム,カリウム,ラジウム,バリウム,ラジウム
次のうち、実際に存在するトンボの種類は何 ?,理系,ウマカラトンボ,ゲキカラトンボ,アマカラトンボ,シオカラトンボ,シオカラトンボ
日本の固有種として知られる鳥、ノグチゲラやヤンバルクイナが生息している島はどこ ?,理系,淡路島,北海道,沖縄島,佐渡島,沖縄島
CGや音響技術を駆使して作られる「仮想現実」のことを、〇〇〇リアリティという。〇〇〇は ?,理系,バースデイ,バーニング,バーコード,バーチャル,バーチャル
防腐剤として使われる「ホルマリン」は、何という有機化合物の水溶液 ?,理系,シンナムアルデヒド,ベンズアルデヒド,アセトアルデヒド,ホルムアルデヒド,シンナムアルデヒド
テストで5人の得点がそれぞれ1点、4三村   3点、   4点、   5点の時、   在均点は回葉怠,理系,3点,2点,5点,4点,3点
観賞用や細工品として使われる、大さな生円形のかさがガ特徴のキノコは回角,理系,ブタノコシカケ,ネネコノコシカケ,サルノコシカケ,ヒツジノコシカケ,サルノコシカケ
次のうち、液体蜜素の特徴として正しいことはどれ2?  ー,理系,とても固い,とても熱い,水の中で保存する,"と      ヽ
ても冷たい","と      ヽ
ても冷たい"
クルクミンという含有成分が二日酔いに良いとされる、ショウガ科の植物は何 ?,理系,サコン,ロコン,ウコン,ニコゴン,ウコン
雨上がりの空に、七色の光のアーチがかかる現象を何という ?,理系,政,蜂,虹,間,虹
次のブラシのうち、歯の手入れに使うものはどれ2?,理系,デッキブラシ,"ヘへアブ
アブランシ",ハブランシ,"工 ア
アブランシ",ハブランシ
次のうち、昆虫はどれ ?,理系,ミドリガメ,ウミガメ,クサガメ,タガメ,タガメ
次のうち、「ネズミ」や「モグラ」の前に付けると別の動物になるのはとれ?,理系,イガ,トゲ,ニードル,ハリ,ハリ
人間の体がある物質に対して、過剰な反応を起こす病気を総称して何といつ ?,理系,コレルギー,ソレルギー,アレルギー,ドレルギー,アレルギー
塞さのために手が赤くはれてかゆくなる現象を何という 2?2,理系,しもあれ,しもゆで,しもやけ,しもあげ,しもやけ
次のうち、植物はどれ ?,理系,ウドン,ラーメン,ソバ,スパゲッティ,ソバ
次のうち、火をつける際に用いる道具はどれ2?,理系,スイマー,レーサー,ライター,テーラー,ライター
AME:Plプんありルルコにゴミを:ま<肖肛門から臭い分泌液を噴出することで知られる動物は何 ?,理系,スカンク,アライグマ,ハイエナ,マングース,スカンク
叫液に含まれる「アミラーゼ」は、主にどんな物質を分解する酵素 ?,理系,食物繊維,でんぶん,ビタミン,脂肪,でんぶん
「ホール」や「駒込」などの種類がある、液体を吸い取るために使う道具は何 ?,理系,ビーカー,シリンダー,フラフラスコ,ピペット,ピペット
ティズニー映画でもおなじみの犬・ダルメシアンの体の模様の色は次のうちとれ?,理系,黒と白,赤と星,赤と青,黄色と黒,黒と白
次のうち、申歯を治したいときに行く科はどれ?,理系,眼科,内科,歯科,耳鼻科,歯科
ペットとして飼育されることもある「タランチュラ」といえば、大型のどんな生き物?,理系,サソリ,ゴキブリ,ムカデ,クモ,クモ
世界初の抗生物質 「ペニシリン」を発見したイギリスの組税学者は誰 ?,理系,アメゼミ,トカゲゼミ,フレミング,"ミズ っ
に    に
ここ  ゼミ",フレミング
肥満やアルコールの摂取によって起こる、肝臓に脂肪が蓄積した状態を何という3?,理系,脂肪肝,日色肝,者白肝,脂蓄肝,脂肪肝
「助衣」は人間の体のどの部分にある骨 ?,理系,胸,征,腕,頭,胸
俗に、ツバメが低く飛ぶ時、天気はとうなるといわれる 2,理系,晴れ,砂嵐,"NN|
十","呈記
雪","NN|
十"
俗に「砂漠の船」とも呼ばれる、背中のコブがガ特徴的な動物は何 ?,理系,キリン,ラクダ,オオカミ,シマウマ,ラクダ
ばねにかかる力の大きさとばねの伸ひとの関係を示した法則に名前を残すイギリスの物理学者は誰 ?,理系,ヒック,ハック,ヘック,フック,フック
感染すると高い確率で死に至る、工ボラウイルスを病原体とする感染症は何 ?,理系,エボラ洪熱,エボラ出血熱,エボラ肺炎,エボラエンザ,エボラ出血熱
危険が迫ると体に青いリング模様があらわれるタコ「〇〇〇モンダコ」。 の〇〇は何 ?,理系,ジャガー,ヒョウ,チーター,ライオン,ヒョウ
次のうち、実際に存在する元素はどれ 2?,理系,金,地位,名準,愛,金
よく小学校で検査が行われる、ヒトの盲腸などに寄生する寄生虫は何 ?,理系,ぢょう中,びょう中,じょう虫,ぎょう中,ぎょう中
原子番号1の元素は水素ですが、原子番号2の元素は何 ?,理系,ベリリウム,,リチウム,ヘリウム,ヘリウム
タミフル、リレンザ、ラピアクタといえば、どんな病気の特効薬 ?,理系,ペスト,マラリア,インフルエンザ,エイズ,インフルエンザ
植物の細胞の中にある、光合成を行う器官を何という ?,理系,葉緑体,ゴルジ体,ミトコンドリア,細胞核,葉緑体
ある動物に似た鳴き声で鳴くことから名が付いた、北米の草原に生息するリスの仲間は何 ?,理系,プレーリーラビット,プレーリードッグ,プレーリーキャット,プレーリーベア,プレーリードッグ
潮岬の海岸のように、海水の影響で複雑な形となった海岸のことを何という2,理系,アプト式海岸,,リアス式海岸,ユコ式海岸,リアス式海岸
塩化ナトリウムを主成分とする鉱物で、食塩の原料として用いられることもあるのは何 ?,理系,岩塩,岩男,岩瀬,岩鬼,岩塩
「親知らず」といえば、人間のどんな器官の一種 ?     「,理系,"+ょに
普",目,毛,斬経,"+ょに
普"
どの同素体がある元素は何 ?,理系,リン,酸素,硫黄,,
睡眠を大きく2つに分けるとノンレム睡眠と何 ?,理系,ラム上膝虐,ルム有睦眠,リム睡眠,レム睡眠,レム睡眠
主に歯やその周辺組織の病気や治療を扱う医学の分野を何という ?2,理系,歯科,且鼻科,眼科,泌尿器料,歯科
"ハワイのマウナケア山需にある日本の望可
印は何 ?",理系,つばる,いばる,しばる,すばる,すばる
日本全域に広く分布する、英緑色の体が特徴的なカエルの仲間はどれ ?,理系,ニホンアメガエル,ニホンアマガエル,ニホンハレガエル,ニホンクモガエル,ニホンアマガエル
著書『種の起源』で進化論を唱えた、イギリスの自然科学者は誰 ?,理系,ダーウィン,ニュートン,リンネ,シーボルト,ダーウィン
次のうち、最も大きな生物はどれ?,理系,トカゲ,ゴリラ,キリン,クジラ,クジラ
次のうち、足の本数が最も多い生き物はどれ?2,理系,あめんぼ,みみず,ダンゴムシ,おけら,ダンゴムシ
流紋岩、安山岩、玄武震といえば、何という岩石の一種 ?,理系,剣山岩,火山岩,氷山岩,雲山岩,火山岩
植物の茎や枝に付いて、光合成や蒸散を行う器訪は何 ?,理系,ひ,"ゃ
っ)\",は,は,は
「メエメエ」といえば、普通、次のうちどんな動物の鳴き声 ?,理系,うし,ねこ,いぬ,やぎ,やぎ
火山の地下にある、マグマが茜積する部分のことを何という3?,理系,マグマ沙とし,マグマ溜まり,マグマ入れ,マグマ戻し,マグマ溜まり
ツツジ科の沙葉低木で、藍色の実がジャムやジュースに加工されるのは回角,理系,ブルーベリー,グリーンベリー,レッドベリー,イエローベリー,ブルーベリー
ヒトには、普通、上下で合わせて32本ある、胞歯がぬけた後に生えてくとElたき4,理系,交代歯,予備歯,氷久歯,時歯,氷久歯
"ヽ  にっ  \ら
「100」「クーロン」「炭素」カ連想さ       4
されるアルファベット1文字は回角",理系,D,C,A,B,C
ホウ素、バリウム、ベリリウムの元素記号に共通して使われるアルファベットは何 ?,理系,A,C,B,D,B
次のうち、よく混布楽や抗炎症楽に使われる物質はどれ?,理系,ドイツメタンシン,インドメタシン,ロシアメタシン,トルコメタシン,インドメタシン
北海道に棲息する、日本最大の淡水角であるサケ科の魚は何?   「,理系,カトウ,イトウ,サトワウ,サイトウ,イトウ
次のうち、天王星や海土星が属するのはどれ2?,理系,地球系,青文字系,シリウス系,太陽系,太陽系
マグロなどのように、定まった季節に一定の経路を移動する魚のことを何という3?,理系,深海魚,回遊魚,太刀魚,"熱帯
淀魚",回遊魚
「紫外線」のことを、アルファベット2文字で何という ?,理系,RV,SV,UV,TV,UV
次のうち、ヨーグルトなどに含まれる乳酸黄の一種はどれ ?,理系,"ーー --ー
納豆國",ビフィズス菌,カンピロバクター,ボツリヌス菌,ビフィズス菌
「ひとよひとよにひとみごろ」と覚える数はいくつ 2?,理系,ルート2,ルート5,ルート7,ルート3,ルート2
「ヨロイネズミ」とも呼ばれる、背面が硬い甲で覆われ、丸くなることで身を守る動物は何 ?,理系,アルデンテ,アルマジロロ,アルパチーノ,アルジャーノン,アルマジロロ
イカの足のことを、倫に何という ?,理系,エンペンフ,ゲソ,ゴロ,カラストンビピ,ゲソ
トルコのパムッカレや山口県の秋吉台にみられる、石灰岩が浅食されてできた地形を何という ?,理系,カルスト,エンスト,ホルスト,ハンスト,カルスト
細胞を構成する次の組織のうち、遺伝子が含まれているものはどれ2?,理系,核,液肥,細胞膜,細胞質,核
次のうち、実際に存在する元素はどれ 2?,理系,木素,水素,土素,火素,水素
次のうち、「パスカル」という単位を表す記号はどれ?2,理系,Pc,Pb,Pd,Pa,Pa
次のうち、対角線がない図形はどれ ?,理系,正六角形,正方形,正五角形,正三角形,正三角形
秋頃に「ギースチョン」と鳴く、バッタのような昆虫は何?,理系,カブトムシ,キリギリス,カマキリ,モンシロチョウ,キリギリス
次のうち、気象庁が発表する警報ではないものはどれ?,理系,食中毒偽報,洪水警報,困風敬報,大雨菩報,食中毒偽報
次のうち、5の倍数はどれ ?,理系,15460,S8961,99628,485/4,15460
"一方が2倍、3倍となっていくとき
- 4にの
に な・ いく

/ Sh他方が2分の1倍、3分の1倍となる関係を何という ?",理系,反比例,離岸流,下呈上,逆水邊,反比例
分数で、括線の上の数を何という ?,理系,分孫,分娘,分息子,分子,分子
「南洋の木材」 と「顔のほお」から連想される言葉は何 ?   」,理系,マスカラ,シャドー,ルージュ,チーク,チーク
夏鳥や冬島などに分けられる、繁殖地と越冬地を往復する島を何という?,理系,,,渡り鳥,走り島,渡り鳥
ハクチョウなどのように、水辺にすむ島を何という ?,理系,水鳥,水鳥,,火島,水鳥
夜空の「夏の大三角」を形作る3つの1等星は、デネブ、べベガと何?,理系,アークトウルス,スピカ,レグルス,アルタイル,アルタイル
次のうち、妊娠・分既などを扱う医字の科はどれ?,理系,眼科,皮膚科,耳鼻科,産婦人科,産婦人科
流紋岩、安山岩、玄武震といえば、何という岩石の一種 ?,理系,雲山岩,剣山岩,氷山岩,火山岩,火山岩
臓器移植で、臓器を提供する人のことを何という?,理系,ドナー,ドニー,クランケ,レシピエント,ドナー
「夏梅」という別名もある、ネコに興奮をもたらす植物は何 ?,理系,マタタビ,ナガタビ,ヒトリタビ,ヤドナシタビ,マタタビ
チタンやゲルマニウムなどのように流通量が少ない貴重な金属のことを何という3?,理系,ベースメタル,はぐれメタル,レフ,へヘビイメタル,レフ
次のうち、鳥類ではないのはどれ?,理系,ハクチョワウ,アゲハチョウ,ライチョワウ,ダチョウ,アゲハチョウ
次のうち、アナログ時計で長針と短針の角度が90*になる時刻はどれ ?,理系,3時,1時,4時,2時,3時
次のうち、天王星や海土星が属するのはどれ2?,理系,太陽系,青文字系,地球系,シリウス系,太陽系
傘行四辺形の中でも、四辺の長さが等しいものを特に何という ?,理系,にし形,うし形,くし形,ひし形,ひし形
この時に夢を見ることが多い、体は眠っているのに脳は動いている睡眠状態は何 ?,理系,ベム睡眠,エム睡眠,レム膝眠,ガム睡眠,レム膝眠
チューリップなどにみられる、根や茎に養分がたまってふくらんだものを何という ?,理系,大根,球根,主根,運根,球根
全天で最も明るい星「シリウス」は、何という星座にある星?,理系,のらいぬ座,まけいぬめ座,こまいぬ座,おおいぬ座,おおいぬ座
世界初の宇宙飛行を行い、「地球は青かった」という言葉を残した人物は誰 ?,理系,マーガリン,ダージリン,スターリン,ガガーリン,ガガーリン
建物を落雷の被害から守るために設置される棒状の装置のことを何という?,理系,避雷針,,去埋針,輝震針,避雷針
「ヒートアイランド現象」といえば、どんなことがらに関する現象 ?2,理系,放射性物質の分布,島山部の生物相,都市部の気温,海底の火山活動,都市部の気温
次のうち、「両生類」に分類される生き物はどれ2,理系,サメ,カエル,クジラ,カモメ,カエル
太陽のふちに見える、炎のような赤いガスを何という ?,理系,プロミス,プロメテウス,プロポリス,プロミネンス,プロミネンス
次のうち、生まれたての赤ん坊の体に生えている、和柔らかく薄い毛を指まま:ヨちず<ル 果/,理系,妊毛,産毛,娠毛,妨毛,産毛
水の融点は提氏何度 ?,理系,0C,4C,SC,10C,0C
完唱やアンモナイトなと多くの生物が絶滅した、中生代の終わりの時代は何 ?,理系,ペルム紀,デポン紀,日亜紀,石炭紀,日亜紀
トンボの種類で、日本最大なのは円時,理系,オニガンマ,オニサンマ,オニヤンマ,オニトンマ,オニヤンマ
植物が、二酸化炭素と水がらデンプンや酸素を作り出す活動のことを何という2,理系,光合成,呼吸,吸水,蒸散,光合成
T生きた化石」の別名で知られる魚に何 ?,理系,シーラカンス,テッポウウオ,オウムガイ,ピラルク,シーラカンス
次のうち、「肝臓」を意味する言葉はどれ ?    -,理系,ノブ,スイッチ,レバー,ハンドル,レバー
脳科学者の茂木健一郎が紹介する、ひらめきの剛間に脳細胞が活性化されるという体験を何という ?,理系,ウフ体験,イヒ体験,エエへ体験,アハ体験,アハ体験
金属などの物質を熱して溶かす実験によく使われる、耐熱性の容器を何という2,理系,ちゃつぼ,どつぼ,うつぼ,るつぼ,るつぼ
木の枝や泥を使って川や湖に巨大なダムを作る、ネズミ目の動物は何 ?,理系,モルモット,カピバラ,ハダカデバネズミ,ビーバー,ビーバー
"水素と酸素から化学反応で電気を作る発電装置のこと:
電装置のことを「〇〇電池」 という。(〇〇に入る言葉は何 ?",理系,,材料,科料,,
水分を多く含んだ地盤が、地震などによって軟らかくなる現象を何という?,理系,具体化現象,液状化現象,都市化現象,表面化現象,液状化現象
空気の密度差による光の屈折によって起こる、地上の物が浮かんで見えたりする現象を何という?,理系,黄玲楼,翔響楼,白玉楼,重気核,重気核
一般的なAB型の両親から生まれてくる子供の血液型として、ありえないの】たず。化2,理系,AB型,A型,B型,0型,0型
コーラなどの炭酸飲料を飲んだ後に、胃の中のガスが口から出てくる現象を何という ?,理系,あくび,くしゃみ,しゃっくり,げっぷ,げっぷ
微生物が有機物を分解する現象を、人間に有害な場合は腐敗といいますが、有用な場合は何という ?,理系,発効,発行,発光,発酵,発効
"夏の夜空に
空に輝く赤い星 「アンタ
昌ス」がある星座は何 ?",理系,かに座,やぎ座,さそり座,おおぐま座,さそり座
鉄を与えると元気になるという言い伝えから名付けられた裸子植物は回角,理系,ソテツ,キテツ,テイテツ,コテツ,ソテツ
4択クイズを適当に答えた場合の正解率は理論的に何% ?,理系,S0%,0%,25%,10%,25%
約150億年前に起こったとされる、宇宙の始まりとなった大爆発のことを何という ?,理系,ビッグブン,ビッグバン,ビッグビン,ビッグベン,ビッグバン
次のうち、了肉食恐竜はどれ ?,理系,トリケラトプス,イグアノドン,ティラノサウルス,ステゴサウルス,ティラノサウルス
くも膜下出血」の「くも膜」は、体のどの部分にある膜2,理系,腹,腰,胸,頭,頭
メンテルがエンドウマメを使って発見した「メンデルの法則」とは、何に関する法則 ?,理系,光合成,受粉,蒸散,遺伝,遺伝
次のうち、人の言葉を真似ゃことでおなじみのムクドリ科の島はどれ ?,理系,文鳥,九官鳥,十姉妹,,九官鳥
太陽のように、目ら熱と光を出す天体を何という ?,理系,惑星,恒星,彗星,衛星,恒星
木の上にすみユーカリの葉を食べる、オーストラリアに生息する動物は何 ?,理系,エミュー,コアフ,ウォンバット,カンガルー,コアフ
人間の気道や消化辻などを履っている、柔らかく湿った上皮を何という?,理系,,粘膜,年膜,返膜,粘膜
次のうち、太陽系の惑星に存在しないものはどれ2?,理系,火星,月星,木星,水星,月星
次のうち、釘抜きなどに使われる、金属でできた棒状の工具はどれ ?,理系,レンナチ,クランプ,ジャッキ,バール,バール
血液が動脈血管内を流れているときに示す圧力のことを、一般に何という?,理系,血圧,血流,血細,血痕,血圧
妊娠しやすい体を作るために行われる、排卵誘発剤やホルモン剤の投与などの治療を何という ?,理系,不妊治療,"へへ三錠こム
公認治療",代替治療,終身治療,不妊治療
春になって日増しに暖かくなる途中、一時的に訪れる冷え込みを何という ?,理系,暖の戻り,杜の戻り,冷の戻り,温の戻り,杜の戻り
台風などで、風速が毎秒25mを超える地域を何という ?,理系,危険域,可航域,暴風域,航空域,暴風域
ジェンツー、マゼラン、フンボルト、アデリー、コウテイ等の種類がいる鳥は何 ?,理系,ペンギン,ダチョウ,クイナ,ヒクイドリ,ペンギン
金属が電気を通す原因となる、金属中を自由に動く電子を何という?,理系,閉出子,北条政子,自由電子,拡張子,自由電子
水を電気分解すると何が生じる ?,理系,窒素と水素,酸素と炭素,室素と炭素,酸素と水素,酸素と水素
日本の『京』などに代表される、高度な演算を行う大型計算機を何という?,理系,モンスターコンピュータ,スーパーコンピュータ,マスターコンピュータ,ハイパーコンピュータ,スーパーコンピュータ
人間の足赴にある、骨が両側に出っ編 、了チー,理系,とこぶし,やまぶし,かつおぶし,くるぶし,くるぶし
人間の内臓で、肺は「呼吸器」ですが、心臓は何器 ?  ーー,理系,消化器,泌尿其,生殖器,備玉問,備玉問
カエルなどの生き物が、生活活動をほとんど行わない状態で冬を越すことを何という ?,理系,冬の旅,冬眠,冬支度,冬衣,冬眠
アセトアミノフェンなどのような、痛みを和らげける楽剤を、総称して何という2,理系,しんつうざい,ひんつうざい,さんつうざい,ちんつうざい,ちんつうざい
科学実験で、液体などを入れる際に用いる細長いガラス管を何という ?,理系,試験管,温度管,検査管,調査官,試験管
一般に「さかな」と呼ばれるのは、何類に属する脊椎動物 ?,理系,,有申類,,貴乳類,
河口付近で見られる三角州のことを、あるギリシア文字を使って何といつ ?,理系,デルタ地帯,アルファ地帯,ベータ地帯,ガンマ地帯,デルタ地帯
コンピューターを動かすためのプログラムを書くことを何という ?,理系,ジャミング,エイリアシング,ハミング,プログラミング,プログラミング
日本全域に広く分布する、英緑色の体が特徴的なカエルの仲間はどれ ?,理系,ニホンハレガエル,ニホンアメガエル,ニホンクモガエル,ニホンアマガエル,ニホンアマガエル
次のうち、毛髪、羊毛、爪などに含まれている硬がタンパク質はどれ ?,理系,アクチン,グロブリン,フィブリン,ケラチン,ケラチン
次の水生昆虫のうち、水面をおもな生活の場とするものはどれ?,理系,タガメ,ゲンゴロウ,アメンボ,トンボ (ヤゴ),アメンボ
先の細長いピペットにも名前を残している、組菌学の先駆者として知られるフランスの生化学者は誰 2,理系,パスグッツ,パスハック,パスアイテム,パスツール,パスツール
物質が液体の状態を経ずに、固体と気体の間で状態を変化させることを何という3?,理系,しょくじ,さゆうしゆう,しょうか,そしゃく,しょうか
3つの辺の長さがすべて等しい三角形を何という ?,理系,紳三角形,完三角形,生三角形,正三角形,正三角形
太陽系の惑星で、金星と火星の間にクル3Yの】ちく幅7        「,理系,土星,地球,木星,水星,地球
次のうち、人体に実際にある有筋肉はとれ?,理系,カレイ筋,ヒラメ筋,マグロ筋,サンマ筋,ヒラメ筋
「中東呼吸器症候群」とも呼ばれる感染症「MERS」。何と読む ?,理系,アースズス,サタン,マーズ,マーキュリー,マーズ
「アース」といえば、太陽系のどの惑星のこと ?,理系,地球,火星,土星,木星,地球
その見た目から「アカパンダ」という別名を持つ、動物園でもおなじみの動物は何 ?,理系,ライトパンダ,レッサーパンダ,スモールパンダ,リトルパンダ,レッサーパンダ
EEEとさと4のめ紀中認のだたき:Tのが/相のに作られた、ある化学者の名前が付けられた装置は何 ?,理系,マートンのゆりかご,ニュートンのゆりかご,ノートンのゆりかご,ニートンのゆりかご,ニュートンのゆりかご
一次元の「長さ」、二次元の「面積」に相当する、三次元における量は何 ?,理系,集積,凌柄,体積,堆積,体積
胸部の毛や、黒と黄色のずんぐりした体が特徴的な、日本全国に分布するハチの仲間はどれ?,理系,クジラバチ,ウマバチ,クマバチ,サルバチ,クマバチ
その幼体が「ミドリガメ」の名前で流通している、北アメリカ原産のカメは「何アカミミガメ」 ?,理系,サスケハナ,ミシシッピ,プリマス,サラトガ,ミシシッピ
ツチノコ、ネッシーなどの未確認動物のことを何という2?,理系,USI,UMA,NEKO,INU,UMA
地層にチョークが含まれることから名づけられた、中生代最後の地質時代は何 ?,理系,亜細亜紀,黒亜紀,東亜紀,日亜紀,日亜紀
ティズニー映画でもおなじみの犬・ダルメシアンの体の模様の色は次のうちとれ?,理系,赤と白,黄色と黒,赤と青,黒と白,黒と白
感染すると高い確率で死に至る、工ボラウイルスを病原体とする感染症は何 ?,理系,エボラ洪熱,エボラ出血熱,エボラ肺炎,エボラエンザ,エボラ出血熱
若田光一、野口聡一、毛利衛と言えばどんな職業の人 ?,理系,海中飛行士,宇宙飛行士,地中飛行士,喪中飛行士,宇宙飛行士
水素・リチウム・ナトリウムといえば、いずれも第何族元素 ?,理系,4,3,2,],]
5に対する1/5のように、ある数と掛け合わせると1になる数を何という?,理系,逆数,転数,倒数,胃数,逆数
トノサマ、ウシ、アマなどの種類がある両生類は何 ?,理系,クル,イク,サル,カエル,カエル
脊椎動物ののどの上部にある、声を出すための問官を何という2?,理系,声仏,声布,声膜,"= 皇
FT","= 皇
FT"
女性の美しさにも例えられる、秋の七草のひとつである植物は何 ?,理系,ハギ,ヤマブキ,クズ,ナデシコ,ナデシコ
_ 化学反応で、「C+02つの〇〇」の〇〇①つに入れて正しい式になるのは、のひjpまっず< 4,理系,CO2,H20,NH3,NaC|,CO2
医学的には「尋常性座六」と呼ばれる、人間の顔や背中にできる皮膚の炎症性疾患は何 ?,理系,みくび,しけび,にきび,つけび,にきび
太陽のふちに見える、炎のような赤いガスを何という ?,理系,プロミネンス,プロポリス,プロミス,プロメテウス,プロミネンス
季節の変化などによって、植物の葉が枝から落ちることを何という ?,理系,堕葉,下葉,墜葉,洛葉,洛葉
のちる28症リレもことたこあ/す2をれるグループはどれ3?,理系,げっ耳類,げっ昌類,げっ目類,げっ歯類,げっ歯類
次のうち、星座の名前にあるのはどれ 2?,理系,てんびん座,ばね座,おんどけい座,てこ座,てんびん座
ユーカリの葉を主食とする、オーストラリアに生息する動物は何 ?,理系,コブラ,コーフ,コアフ,コレフ,コアフ
