Q,Category,K1,K2,K3,K4,A
外から何度も力がかかることによって起こる骨折のことを何という ?,理系,限界骨折,耐久骨折,待機骨折,疲労骨折,疲労骨折
次のうち、実際にいるチョウの仲間はどれ ?           「,理系,ドッグチョウ,モンキチョウ,ホースチョワウ,キャットチョワウ,モンキチョウ
アラビアの数学者にちなむ、問題を解く手順を意味する言葉は何 ?,理系,ポリリズム,バカリズム,マンネリズム,アルゴリズム,アルゴリズム
コンパスや定規を使わずに図形を所くことを何という ?,理系,マスターハンド,マジックハンド,フリーハンド,ゴッドハンド,フリーハンド
2の3乗は何 ?,理系,9,8,16,4,8
渦巻管、前庭、三年規管からなる体の部分はどこ ?2        「,理系,爪,眼球,内耳,,内耳
フラスコを熱する際などに使う、上部が輪っかになった台を、脚の本数から何という2?,理系,四脚,二脚,五肢,三脚,三脚
次のうち、ペットとしても飼育されるオオツチグモ科のクモの一般的な呼び名はどれ?,理系,タランチュラ,デンキクラゲ,ガンガゼ,オナモミ,タランチュラ
ヒトなどの動物の消化管に寄生する、局在な体を持った寄生虫を総称して何という ?,理系,ウエスギムシ,タケダムシ,サナダムシ,オダムシ,サナダムシ
皮膚がたるむことによって体の表面にできる、細かい筋目のことを何という ?,理系,そばかす,しみ,ぶや け,しわ,そばかす
ヨコバイ科の昆虫「耳剛」と、フクロウ科の鳥「木菓」に共通する読み方は何 ?,理系,シマフクロウ,アオバズク,コノハズク,"に ミズ
ee","に ミズ
ee"
1961年に人類初の宇宙飛行を行った、ソ連の宇宙飛行士は誰?,理系,ガガーリン,テレンコワ,サビツカヤ,レオーノフ,ガガーリン
カルシウムの元素記号はどれ ?,理系,Ka,Ca,K,C,Ca
表皮を簡単にはがせることから名付けられた、釣りでおなじみの魚は回角,理系,カワハギ,トラハギ,ヒハギ,カワトレ,カワハギ
ーー種類の元素のみからなる物質を指す言葉は何 ?,理系,混合物,化合物,"結蝶
日日",単体,単体
機械の歯車などに使われる、キ年固体の潤滑剤を何という 3?,理系,リース,グリース,フリース,リリース,グリース
次のうち、カメの仲間ではないのはどれ?,理系,ミドリガメ,タガメ,アカウミガメ,クサガメ,タガメ
固体になると「ドライアイス」となる気体は何 ?,理系,二酸化炭素,二酸化窒素,二酸化硫黄,二酸化マンガン,二酸化炭素
100円の商品に8%の消費税がかかった場合、購入者が支払う金額はいくら?,理系,108円,1800円,800円,180円,108円
「考える」という意味のフランス語から名付けられた、黄色や紫色の花を咲かせるスミレ科の植物は何 ?,理系,パンジー,モンキー,ピンキー,デイジー,パンジー
次の鳥のうち、飛べないのはどれ?,理系,ペンギン,カナリア,ペリカン,アホワウドリ,ペンギン
次のうち、水素イオン濃度指数を表す記号はどれ ?,理系,Pa,pH,IPS,pdf,pH
樹木の幹の表面を覆う部分を、普通、何という ?,理系,樹鱗,樹毛,樹骨,樹友,樹友
次の人体の部位のうち、ふつう最も頭側にあるのはどれ2?,理系,尾てい骨,言有,生月板,食道,食道
「地球は青かった」という名言を残したソ連の宇宙飛行士は誰 ?,理系,テレンコワ,ガガーリン,レオーノフ,ナトフ,ガガーリン
新薬の特許が切れた後に製造される、同一成分の薬を何という ?,理系,ジェネリック医薬品,メタボリック医薬品,ターメリック医薬品,ヒステリック医薬品,ジェネリック医薬品
富山県や長野県で「県の島」に指定されている、特別天然記念物の鳥は回角,理系,ライチョワウ,タイチョウ,カイチョワウ,サイチョワウ,ライチョワウ
キンカン、ユズ、グレープフルーツといえは何科の植物 2,理系,アオイ科,ミカン科,バラ科,ツツジ科,ミカン科
溶震の流出や噴火、火山性地震など、火山が引き起こす諸現象 「K)〇活動」。 のの〇は何 ?,理系,火山,学級,結婚,アイドル,火山
富良野地方でよく見られる、紫色の花を咲かせることが多いシソ科の植物は何 ?,理系,ダリア,ラベンダー,カモミール,アーティチョヨーク,ラベンダー
ラーメンの麺がのびる主な原因は、麺が〇〇〇を吸い込むから。〇〇〇は何 ?,理系,金,木,ル,水,水
ある空気中の水蒸気量が飲和水蒸気量と同じになる温度は何?,理系,濁点,露点,失点,焦点,露点
「ノーベル賞」に名を残す、アルフレッド・ノーベルが発明したものといえはばは何 ?,理系,電球,飛行機,ワクチン,ダイナマイト,ダイナマイト
飯島澄男らが発見した、炭素原子がつくる円筒型の分子は何 ?  「,理系,カーボンナノチューブ,カーボンキロチューブ,カーボンテラチューブ,カーボンミリチューブ,カーボンナノチューブ
振動数の異なる音が和干渉し合い、音が強くなったり編くなったりして聞こえる現象を何という ?,理系,うなり,くぼみ,かゆみ,しびれ,うなり
黒色のメラニンなどのように、色が出る原因になる物質を総称して何といつ ?,理系,色素,色々,色紙,色気,色素
ものが燃えて光や熱を発する現象のことを何という ?,理系,"ゃ
っ)\",ひ,は,へへ,ひ
ヒトやチンパンジー、ゴリラなどのサルの仲間をさす言葉は何 ?,理系,西長類,自長類,,吐長類,
夏から秋に現れ、「ガチャガチャ」本 ミミるにコリコ0とをS『のの】三|は何 ?,理系,クツワムシ,ムチムン,ハカマムシ,アブミムシ,クツワムシ
ニキビ、コナ、イエなどの種類がいとでsilち講和,理系,マニ,ヤニ,ノニ,ダニ,ダニ
その肉や血は滋養に富むとされる、亀の一種は何 ?,理系,クーポン,スッポン,デュポン,レオポン,スッポン
人間の耳で聞き取ることができる、およそ20ン2万ヘルツの周波数の音を何という ?,理系,海潮音,効果音,可有聴音,五十音,可有聴音
原子核を構成する2つの粒子とは、陽子と何?,理系,酸性子,塩基性子,中性子,アルカリ性子,中性子
次のうち、同音の「科学」と区別して、特に「化学」を指す言葉はどれ?,理系,ばけるがく,ばけまなぶ,ばけるまなぶ,ばけがく,ばけがく
理科実験。酸性アルカリ性を調べる試験紙は?        「,理系,新聞紙,チリ紙,リトマス紙,コピー用紙,リトマス紙
次のうち、美しい鳴き声と黄色い体が特徴的なアトリ科の島はどれ ?,理系,カナリア,アタルカ,ヒバオア,カトレア,カナリア
次のうち、寺を構成するものとして正しいものはどれ2?,理系,磁界,炎,水滴や氷の粒,わたあめ,水滴や氷の粒
タナゴ、シシャモ、コイといえば、次のうちどんな生き物の仲間 ?,理系,,海藻,ヘビ,魚,魚
アップル往が開発した音楽持生ソフトは次のうちどれ?,理系,GOMPIayer,SoundPlayer Lilith,ITuneS,ALSon9,ITuneS
ロシアの生理学者・パブロフが、反射の実験に使った動物は何 ?,理系,獲,,ネズミ,犬,犬
感電防止のために、電気機器から漏れた電気を地面に流すことを何という?,理系,マーキュリー,マーズ,ビーナス,アース,アース
次のうち、主に「白癖菌」というカビが原因となる病気はどれ ?,理系,脚気,中歯,水虫,風邪,水虫
日本で使用されている「工場」の地較二語放者に4EEさ(時/計の,理系,ハンドル,太陽,歯車,回転肩,歯車
次のうち、晶食動物はどれ?,理系,ハゲワンシ,ライオン,カバ,ハイエナ,カバ
次のうち、吐液が分泌されるのはどこ 2?,理系,小腸,口,大腸,"==|
月",口
「希少金属」ともいう、工業的に必要だが、産出量が少ない金属を何という ?,理系,ミディアムメタル,ミディアムレアメタル,ウェルダンメタル,レフ,レフ
次のうち、蜂が分泌する、多くの栄養を含む物質は何 ?,理系,プラチナゼリー,グレートゼリー,ローヤルゼリー,ゴールドゼリー,ローヤルゼリー
一般的な自動車の燃料は何?,理系,灯油,水,ガソリン,石炭,ガソリン
「耳鼻咽喉科」の「咽喉」とは、人間の体のどの部分のこと ?,理系,くちびる,のど,歯,古,のど
ガビアル、アリゲーター、クロコダイルなどの種類がある虫類は?,理系,ワニ,ヘビ,ヤモリ,トカゲ,ワニ
次のうち、奇数の数はどれ?,理系,830252,628335,964622,91338/4,628335
タンポポやヒマワリは何科の植物 ?,理系,ミル科,サワル科,キク科,カグ科,キク科
手や足などの関節に無理な力が働さ、征帯などが損傷した状態を何といつ ?,理系,べんざ,とんざ,ざんざ,ねんざ,ねんざ
ダイヤモンドの車さはどんな単位?,理系,ティファニー,デビアス,さらさら,カラット,カラット
次のうち、化学反応によって生じた2種類以上の元素からなる物質を指す言葉はどれ?,理系,会台物,総合物,集合物,化合物,化合物
人間の生活に利和倫を与える虫のことを、「震虫」に対して何という ?,理系,分申,易虫,駅虫,液虫,分申
20、40、60、80という4つの数の「在均値」となる値はどれ?,理系,20,SU,80,200,SU
太陽などが属する、無数の恒星からヨロiたる円時,理系,,日河系,,大河系,
お酒に含まれる物質「エチル〇)〇つ」。〇つつ〇は何 ?,理系,チャコール,アルコール,イコール,スパンコール,アルコール
世界遺産にも指定されている屋久島の名物・屋久杉のうち、幹周り16.4mと最も太い個体の名前は何 ?,理系,縄文杉,古墳杉,弥生杉,,縄文杉
日本人初のノーベル濾受賞者は?,理系,野依良治,江崎玲診奈,朝永振一朗,混川秀樹,混川秀樹
砂糖を熱し続けると黒くなりますが、この黒い物質の成分は何 ?,理系,窒素,酸素,水素,,
次のうち、「物質の三態」に数えられないものはどれ2?2,理系,固体,液体,思念体,気体,思念体
水の化学式は「H20」ですが、水蒸気の化学式は何?,理系,CH4,NH3,H20,CO2,H20
次のうち、かけ算九九の表に1回も登場しない数字はどれ ?,理系,15,12,13,14,13
水に溶けて水素イオンを出す酸に対して、水に溶けて水酸化物イオンを出す物質を何という ?,理系,笑基,油基,酢基,塩基,塩基
1949年、日本人として初めてノーベル賞を受賞した物理学者は誰?,理系,湯川秀樹,坂田昌一,朝永振一朗,仁科芳雄,湯川秀樹
著書に30年かけて出版された『昆虫記』全10巻がある、19世紀フランスのアマチュア博物学者は誰 ?,理系,キュヴィエ,シートン,ダーウィン,ファーブル,ファーブル
次のうち、すべり止めを使うと大きくなる力はどれ ?,理系,垂直折力,摩擦力,重力,浮力,摩擦力
地球上で一番大きい生き物は?,理系,アフリカソウ,シロナガスクジラ,キリン,シャチ,シロナガスクジラ
種子植物のうち、及珠が子房につつまれているもののことを、「裸子植物」に対して何という ?,理系,包子植物,被子植物,復子植物,服子植物,被子植物
雷雲と地面の間に走る火花のことをある植物を使って何という ?,理系,豆妻,稲妻,支妻,地妻,稲妻
レントゲンが発見した放射線は何線 ?,理系,Y線,Z線,X線,W線,X線
冷却材として使用される「ドライアイス」は、何の固体 ?,理系,二酸化炭素,酸素,室素,水素,二酸化炭素
次のうち、疲れなどによって目が赤くなることを意味する言葉はどれ 2?,理系,失血,満血,充血,不血,充血
はかない命のたとえにも使われる、「モン」 「ヒラタ」などの種類がいる水生昆虫は何 ?,理系,ユスリカ,トビケラ,カワゲラ,カゲロウ,カゲロウ
一昔前のテレビやパソコンのディスプレイに用いられた装置のことを、発明者の名にちなんで何という?,理系,ホワイト管,ブラック管,グリーン管,ブラウン党,ブラウン党
リンゴ、ブドウ、メロンといえは、次のうち、一般に、どの部分を食用とする植物 ?,理系,果実,葉,根,茎,果実
金剛石」という別名を持つ、炭素から構成される非常に硬い宝石は回角,理系,ルビピー,エメラルド,ダイヤモンド,サファイア,ダイヤモンド
人【の】三暫G較にお 下可の】三5の数を足した値は何2 。,理系,9,5,8,7,7
次のうち、吐液が分泌されるのはどこ 2?,理系,"==|
月",大騰,小腸,国,国
「2の3乗」の「3」を指す、雪乗を表記する際に右上に小さく書かれる数を何という?,理系,腕数,爪数,指数,手数,指数
健康診断などでアルファベット2文字で「TG」と表記されるのは、次のうち何の値 ?,理系,塩基脂肪,酸性脂肪,アルカリ脂肪,中性脂肪,中性脂肪
地球の中緯度地域で、1年を通して吹いている西家りの風を何という ?,理系,偏西風,大西風,向西風,圏西風,偏西風
次のうち、「パンデミック」や「エピデミック」という言葉と関連するの】たず。化2,理系,地震,化石,,竜基,
申歯の進行度合いを表すアルファベット1文字は何 ?,理系,D,C,A,B,C
次のうち、ナトリウムイオンの表記として正しいものはとどれ?,理系,+Na+,Na+,+Na,N+a,Na+
次のうち、「河川の三作用」に含まれないものはどれ?  ー,理系,浸食,堆積,洗浄,連搬,洗浄
地球から見られる時間帯にちなんで「明けの明星」「窒の明星」の別名でよばれる惑星は何 ?,理系,土星,木星,金星,火星,金星
カタツムリは、次のうち何の仲間 ?,理系,タコ,貝,イカ,エビ,貝
数字で、図形や空間について研究する分野を何という ?     「,理系,幾何,代数,順列,関数,幾何
通常、DNAは人間の細胞核の中でとどのようなかな形状をしている ?,理系,二還らせん,じゃばら,円環,ー本鎖,二還らせん
次のうち、体の回転を感じ取る問官はどれ?,理系,前寿,内牛殻,三生規管,耳官,三生規管
次のうち、足の裏のくぼんだ部分を指す言葉はどれ ?,理系,石踏まず,土踏まず,申踏まず,曲踏まず,土踏まず
次のうち、体の貝殻が消失する形で進化したとされる軟体動物はどれ ?,理系,ウミウン,ウミガメ,ウミネコ,ウミヘビ,ウミウン
次のうち、「秩序ある宇宙」を意味する言葉はどれ 2?  ーー,理系,コスモス,ヒマワリ,アジサイ,タンポポ,コスモス
次のうち、ヒトの結腸を構成している部分として実在するものはどれ?,理系,U状結腸,S状結腸,V状結腸,T状結騰,S状結腸
地球などの惑星が、太陽の周りを回る連動を何という ?,理系,公転,反転,自転,前転,公転
次のうち、星座の名前にあるのはどれ 2?,理系,てんびん座,はかり座,たいじゅうけい座,ふり こ座,てんびん座
次のうち、重さをはかる実験道具は円時,理系,メスシリンダー,温度計,上中てんびん,リトマス紙,上中てんびん
カーボンナノチューブなどというとさの「カーボン」とは何のこと ?,理系,,窒素,酸素,水素,
パソコンのデスクトップや、携帯電話の待ち受け画面の背景画像のことを一般に何という ?,理系,手紙,型紙,壁紙,厚紙,壁紙
元率のシーボーギウムの名前の由来になった物理学者は誰 ?,理系,サイボーグ,ワイボーグ,シーボーグ,ウルボーグ,シーボーグ
生後大ヶ月頃から生え始める赤ちゃんの歯のことを何という2,理系,"ルー
赤歯",氷久歯,"乳歯
洲",子歯,"乳歯
洲"
xについての関数、y=2xの2が表しているのは何2,理系,比例定数,万有引力定数,アボガドロ定数,宇宙定数,比例定数
次のうち、対角線を1本も引くことができない図形はどれ?,理系,六角形,三角形,四角形,五角形,三角形
酸化された物質を元に戻すことを何という ?              「,理系,族化,斑化,本化,逮元,逮元
ものさしや温度計などについている、量をはかるための目安となる線や点を何という ?,理系,山盛り,酒盛り,目盛り,舟盛り,目盛り
犬を用いた条件反射の研究で知られるロシアの生物学者は誰 ?,理系,シュレディンガー,アインシュタイン,ニュートン,パブロフ,パブロフ
ヒトの呼吸に欠かせない、原子番号「8」の元素は何 ?,理系,酸素,大素,甘素,半素,酸素
もぐらは普通どこに住んでいる ?,理系,雲の中,水の中,火の中,土の中,土の中
「ハレー彗星」や「エンケ破星」といった彗星の名前は、どんなものにちなんで命名された2?,理系,星座名,動物名,地名,人名,人名
次の自然数のうち、唯一、3で割り切れる数はどれ ?      「,理系,111,11111,1111,11,111
くま02モす/9和RTひ】たすず 遇2,理系,ザリガニ,サワガニ,ケガニ,ズワイガニ,ザリガニ
長崎の動物園「長崎バイオパーク」などでみられる、世界最大のげっ歯REEルたき 計,理系,カピバラ,アルパカ,オカピ,カモシカ,カピバラ
電圧を表す単位Vは何と読む ?,理系,ボス,ビクトリー,ボンバー,ボルト,ボルト
水溶液にそれ以上物質を加えても溶けないような状態を何という ?2,理系,水和,印和,中和,積和,印和
六角形構造の「ハニカム」は、どんな昆虫の巣という意味がある言葉 ?,理系,カマキリ,アリ,クモ,ハチ,ハチ
佐渡島に保護センターがある、特別天然記念物にも指定されている鳥は回角,理系,ハクタカ,トキ,ツバメ,ハヤブサ,トキ
正・負の荷電粒子が共存して電気的に中性になっている状態を何という?,理系,プリズム,プロンプト,プラズマ,プラリネ,プラズマ
人が歩くと前へと飛ぶことから「ミチオシエ」とも呼ばれる昆虫は何 ?,理系,ダイミョウ,ゼツミョウ,キミョワウ,ハンミョウ,ハンミョウ
記号「V」で表される、電圧の単位は何?,理系,ボルト,オーム,ヘクタール,ワット,ボルト
「ドライアイス」はどんな気体を凍らせたもの?,理系,酸素,二酸化炭素,室素,フッ素,二酸化炭素
次のうち、目薬を目にさすことを意味する言葉はどれ?,理系,裸眼,点眼,肉眼,正眼,点眼
ある金属と他の金属などを溶かし、混ぜ合わせたものを何という2?,理系,融金,併金,合金,結金,合金
正方形の対角線は何本 ?,理系,1本,2本,4本,3本,2本
コンピュータネットワークに不正に侵入し、プログラムの改ざんや破壊を行う人のことをさす言葉は何 ?,理系,キャンディー,チヨョコレート,ポップコーン,クラッカー,クラッカー
「画素」とも呼ばれる、デジタル画像テータを構成する最小の単位は回角,理系,ビクセル,トリミング,レイヤー,ジャギー,ビクセル
狩猟や犬ぞりで活躍する、ロシア原産の犬の品種はひ〇〇ハスキー。〇つつは ?,理系,カナディアン,インディアン,アメリカン,シベリアン,シベリアン
和名をハダカカメガイという、「流氷の天使」と呼ばれることもある海洋生物は何 ?,理系,クリオネ,ウミワウワン,アメフラフン,ホヤ,クリオネ
赤ワインやお作に多く含まれる、植物由来の健康成分は何 ?,理系,ポリメチール,ポリノネナール,ポリエタノール,ポリフェノール,ポリフェノール
「それでも地球は回っている」という言葉も有名な、イタリアの科学者は誰 ?,理系,ニュートン,エジソン,シートン,ガリレオ・ガリレイ,ガリレオ・ガリレイ
毒薬として有名な「青酸カリ」のカリとは何?       -,理系,ユーカリ,カリウム,アルカリ,カリブ海,カリウム
世界最大は「ダイオウ」、世界最小は「ヒメ」といえば、どんな生き物の種類 ?,理系,イカ,サメ,クジラ,タコ,イカ
エンドウマメを用いた実験によって「遺伝の法則」を発見した、オーストリアの人物は誰 ?,理系,コテデル,ドウデル,メンデル,ツキデル,メンデル
次のうち、植物が行う「蒸散」の説明として正しいものはどれ?,理系,水蒸気を外に出す,酸素を取り込む,水蒸気を取り込む,酸素を外に出す,水蒸気を外に出す
「プラークコントロール」といえば、何を抑えるための行為 ?,理系,ガス,抜け毛,臭い,歯垢,歯垢
次のうち、アミラーゼやリパーゼのことをさす用語はどれ?,理系,買素,酵素,色素,間系,酵素
次のうち、生物学における「〆」の記号の意味は何 ?,理系,恒温動物,貴乳類,胎生,オス,オス
次のうち、ニキビなどの皮慮病の原央となる細菌はどれ2?,理系,アクネ男,カノヤ菌,タルミ税,シブシ画,アクネ男
100=1000を計算するといくつになる 2,理系,0.1,10,100,],0.1
寒冷・温暖・停滞・温暖などの種類がある、温かい空気と冷たい空気がぶつかってできる境界は何 ?,理系,前線,石線,左線,後線,前線
次の空を飛べる生き物のうち、員乳外なのはどれ?,理系,チョウ,ジュウシマツ,ツバメ,コウモリ,コウモリ
アメのような甘い香りを放つことから名前が付けられた、水面を滑るように移動する昆虫は何 ?,理系,ミズカマキリ,アメンボ,ミズスマシ,タガメ,アメンボ
次のうち、昆虫ではないのはどれ ?,理系,カブトムシ,クモ,チョワウ,カマキリ,クモ
脂肪分解や食欲増進といった働きがある、トウガラシの果皮に含まれるコリゴリル4た円肝2,理系,カフェイン,カテキン,カプサイシン,カッコンエキス,カプサイシン
「スコヴィル」とは何の度合いを表3単位 ?     -     ー,理系,義さ,痛さ,辛さ,熱さ,辛さ
バラ冠、クルミ冠などの種類がある、ニワトリの頭についた突起のことを何という ?,理系,ヒヅメ,ウキブクロ,タテガミ,トサカ,トサカ
そのグラフが放物線となるのは何次関数 ?,理系,四次関数,三次関数,一次関数,二次関数,二次関数
環境にやさしい「汚れ落とし」として掃除にも使われる、「重炭酸ソーダ」の通称は何 ?,理系,車草,重鎮,車役,重心,車草
気温や湿度が比較的高いときにできやすい、粒の大きな雪をさす言葉は回角,理系,牡丹雪,百合寺,薔薇寺,,牡丹雪
「紅白」「大正三色」「有丹頂」などの品種がある、観賞目的で飼育される色鮮やかな鯉を何という?,理系,イロハゴイ,ムカシゴイ,ニシキゴイ,アズマゴイ,ニシキゴイ
プランクトンの異常増殖によって、海や川が変色する現象を何という2?,理系,折潮,青潮,黒潮,,
歯医者などで、進行の度合いをアルファベットの「C」で表す疾患といえば何 ?,理系,歯槽臓漏,入れ歯,,虫歯,虫歯
周期表はこれの順に並んでいる、原子中の陽子の数を何という 2?,理系,光子番号,分子番号,電子番号,原子番号,原子番号
「おでこ」といえば、顔のどの部分のこと2,理系,あご,ひたい,くち,ほお,ひたい
小文字ではメートル、大文字ではマグニチュードを表すアルファベットは何 ?,理系,M,L,N,S,M
24、48、60の最大公約数はいくつ?,理系,48,12,Z4,36,12
昔話 !桃太郎』にも登場する、「ケンケーン」という鳴き声が特徴の島は何 ?,理系,ゴウガイ,シャセソ,キジ,コラム,キジ
地球が持つ衛星の数はいくつ 2?,理系,1つ,4つ,2Zつ,3つ,1つ
EDMEあ4中EE KGつ二にゴの】計ゴム個数が邊分になるまでの時間を何という ?,理系,全盛其,潜伏期,半減其,幼年其,半減其
目の疲れや精紳的疲労の原因となる、パソコンやスマートフォンの画面から発せられる光は何 ?,理系,グリーンライト,ブラックライト,パープルライト,ブルーライト,ブルーライト
常温で、塩は100gの水にどの程度まで溶ける ?  ーー,理系,309,30mG9g,30kq,3U0t,309
アボポロ11号に乗り込み、史上初の月面着陸を行った、アメリカの宇宙飛行士は誰 ?,理系,アーエーゲー,アーリントン,アーマルコライト,アームストロング,アームストロング
三角形の面積を求める公式「底辺x〇つつ=2」。〇〇は何?,理系,周囲の長さ,年径,内角の和,高さ,高さ
ヒトコブ、フタコブなどの種類がある、砂漠などの乾燥地帯に住む動物は何 ?,理系,ヒョウ,キリン,ヒツンジン,ラクダ,ラクダ
サケの卵を何という?,理系,イクラ,キャピア,カズノコ,タラコ,イクラ
ツヅレサセ、エンマなどの種類がいる、秋の夜に美しく鳴く虫は何 ?,理系,カマキリ,コオロギ,ミツバチ,アメンボ,コオロギ
強風や落軍を伴う、熱帯地方のにわか雨を何という ?,理系,イコール,ワコール,リコール,スコール,スコール
ツバメやハクチョウのように、繁殖地と越冬地との間を規則的に往復する鳥を何という ?,理系,越え鳥,,,渡り島,渡り島
「JAXA」といえば、どこの国の研究開発機関 ?2,理系,フフランス,中国,ロンア,日本,日本
精製すると、軽油や重油が擦取できる、油田から探れる液体を何という?,理系,ゴマ油,原油,条種油,ツバキ油,原油
次のうち、中国にのみ野生生息する動物はどれ ?    「,理系,コアフ,アジアゾウ,ライオン,ジャイアントパンダ,ジャイアントパンダ
10億分の1]メートルの精度を扱う精密技術のことを何という ?,理系,ナノテクノロジー,ピコテクノロジー,ミリテクノロジー,キロテクノロジー,ナノテクノロジー
ハチミツとは、ハチが何から集めた密のこと ?2     ー,理系,花,草,根,木,花
次のうち、自動車などの「大きな鉄くず」を意味する言葉はどれ?,理系,スクラッチ,スクランブル,スクラム,スクラップ,スクラップ
小文字ではアール、大文字ではアンペアを表すアルファベットは何 ?,理系,B,A,C,D,A
イオンを大きく2つに分けると、何イオンと何イオン?    「,理系,光イオンと痢イオン,表イオンと裏イオン,正イオンと負イオン,陽イオンと陰イオン,陽イオンと陰イオン
病院にある、略して「ICU」と呼ばれる施設は何 ?    」,理系,救管救命室,手術室,霊安室,集中治療至,集中治療至
ペットとしても人気がある、イシガメやクサガメの子どもを何という ?,理系,メガカメックス,カメックス,ゼニガメ,カメール,ゼニガメ
「外反母盾」や 「内反小中」といえば、変形している体の部分はどこ ?2,理系,足の指,且,背骨,手の指,足の指
現野が180度以上になる、特殊な広角レンズのことを何という ?,理系,開眼レンズ,魚眼レンズ,着眼レンズ,肉眼レンズ,魚眼レンズ
腸、パラ、発疹などの種類がある、高熱などの症状を発する細菌感染症は何 ?,理系,ナフス,カフス,テノフス,ビピフス,ナフス
頭痛薬などに用いられる「アスピリン」の正式な物質名は何 ?,理系,灰酸,酢酸,クエン酸,アセチルサリチル酸,アセチルサリチル酸
