Q,K1,K2,K3,K4,A
ウパクjpまっ スソムン アスン= にRI たないのはどれ2?,パリ・コレクション,東京コレクション,ミラノ・コレクション,艦際コレクション,艦際コレクション
メジャーリーグの球団名で「レッド〇つつ〇つ〇」「ホワイト〇〇〇」に共通して入る言葉は何 ?,シューズ,スパッソツ,ソックス,ブーツ,ソックス
電気にまつわる単位のアンペア、ボルト、オームといえば、いずれも何に由来する ?,植物の名前,動物の名前,場所の名前,人の名前,人の名前
小説『不思議の国のアリス』の冒頭で、アリスが追いかける動物は何 ?,かえる,さつね,あひる,うさぎ,うさぎ
万願寺トウガラシや九条ネギといえば、どこの都道府県名産の野茶 ?,京都府,大阪府,北海道,東京都,京都府
インド独立運動の指導者として活躍し、インド共和国の初代首相になった人物は誰 ?,オキルー,タベルー,スムー,ネルー,ネルー
日本で行われる選挙で、特に、衆議院の解散または任期満了プによる選挙のことを何という?,公選挙,,,條選挙,
一般的に「あばら骨」と呼ぶ骨のことを、学術的には何という ?,尾骨,助骨,尺骨,機骨,助骨
ファッション雑誌の編集部を舞台とした、メリル・ストリーププ主演の映画は何 ?,エルメスを着た悪腐,プラダを着た悪魔,ルイヴィトンを着た悪魔,グッチを着た悪魔,プラダを着た悪魔
次のうち、「毛皮」や「毛皮を用いた製品」を表す言葉はどれ ?,ブフォー,ファー,フィイー,フェー,ファー
工事現場などで、頭部の保護のためにかぶるものは「ヘル〇〇〇」。〇(つうは何 ?,レット,メット,バット,ボット,メット
パン屋などで、パンを挟んでつかむ道具を何という 2?,トング,リング,キング,シング,トング
次のうち、日本の歴史上存在しない幕府はどれ ?   「,江戸幕府,室町幕府,明治幕府,鍵昼幕府,明治幕府
空気中の水蒸気が、木の枝に吹き付けられて凍結したものを何という ?,樹風,樹氷,樹火,,樹氷
「ヤングなでしこ」といえば、どんなスポーツのU-20の日本代表の愛称 ?,女子柔道,女子バレーボール,女子サッカー,女子レスリング,女子サッカー
次のうち、交尾をしなくても子孫を残せる生物はどれ?2    ー,大腸上画,カブトムシ,ヒト,イカ,大腸上画
次のうち、普通、ご飯を使って作るにムシ!ちす2光6員?,ホットドッグ,ハンバーガー,おにぎり,サンドイッチ,おにぎり
次のうち、無線電波などを監富・傍受することを意味する言葉はどれ ?,モニター,シアター,アバター,センター,モニター
ノーベル賞で知られるノーベルが発= 間yyン/たる円用4,ダイナマイト,ニトログリセリン,C4,TNT,ダイナマイト
井上真央主演で実写ドラマ化もされた、倉金章介・竹本泉の漫画は『何姫』 ?,だ いふ く 姫,たいやき姫,おだんご姫,あんみつ姫,あんみつ姫
"芸術家や芸能人などを経済的に支援し、後ろ盾になる人のことを、フランス語 ヽ
語で何という?",パトロン,パトロール,パトラッシュ,パトリオット,パトロン
ウくのわる2あみ:3りルルリムクアル ニンルアルングを原曲とする、小学校唱歌としておなじみの曲はどれ?,イエローイエロー,レッドレッド,ブルーブルー,グリーングリーン,グリーングリーン
測量の結果をもとに日本地図の作成を行う、国土交通省の専門機関はどご2,日本学士院,国土地理院,会計検査院,法科大学院,国土地理院
次のうち、ラグビーの選手を指す言葉はどれ?2,ランビックマン,クラフトマン,エールマン,ラガーマン,ラガーマン
しげの秀一の漫画『頭文字D』。この「頭文字」は何と読む 2,コードネーム,イニシャル,ヘッド,カシラモジ,イニシャル
これまでに1300以上の曲が放送された、NHKのミニ音楽番組といえは、のひjpまっず< 4,ひとりのうた,ふたりのうた,みんなのうた,さんにんのうた,みんなのうた
ゴン・フリークスを主人公とする、唱酔義博の漫画作品は次のひうちどれ?,HUNTERxHUNTER,幽反遊交白書,レベルE,てんで性悪キューピッド,HUNTERxHUNTER
国土交通省の設置について定めた法律は何?,釣朋法,国土交通省設置法,楽事法,覚醒剤取締法,国土交通省設置法
テレビビ番組 『!サンデーモーニング1!の週刊御意見番に出演していたのは上:壮4,中畑清,王貞治,張本勲,長嶋茂雄,張本勲
相撲の決まり手「突き〇〇」「押し〇つつ〇つ」「浴びせ〇〇」の〇〇に入る言葉は何 ?,投げ,倒し,払い,ひねり,倒し
結婚式で、新郎新婦が互いにお洒を飲み交わす儀式を何という ?,二東三文,三々九度,四捨五入,ー日一療,三々九度
スポーツの「グラススキー」で滑るのは、次のうちどんな場所 ?,水の上,水の上,量の上,マグマの上,量の上
ファミリーコンピュータのコントローラで、Aボタンの左にあるのは何ボタン?,Bボタン,スタートボタン,Cボタン,セレクトボタン,Bボタン
サラブレッド種、アラブ種という動物が用いられるスポーツは次のうちとれ?,クレー射撃,水球,,トライアスロン,
次のうち、鎌倉時代に警察や裁列所のような役割を担った役所はどれ ?2,侍所,浪人所,宙者所,将車所,侍所
映画『逆境ナイン』やドラマ『マッサン』に主演した俳優は誰 ?,玉山鉄治,玉山鉄山,玉山鉄太郎,玉山鉄二,玉山鉄二
藤子不二雄の漫画作品で、ジャイアンというガキ大将が登場するのは次のうちどれ?,パーマン,オバケの0Q太郎,怪物くん,ドラえもん,ドラえもん
「泉州」とも呼ばれる旧国名は何 ?,甲斐国,相模国,和泉国,信濃国,和泉国
次のうち、陸上競技に分類されないものはどれ2,ハーフマフソン,スカッシュ,十種競技,ハンマー投げ,スカッシュ
東京のドン・キホーテ秋葉原店の8階に専用劇場を構えるアイドルグループといえば何 ?,HKT48,AKB48,NMB48,SKE48,AKB48
実験に使われる、一方を閉じた細長い透明のガラス製の管は何 ?,試験管,バーナー,乳鉢,るつぼ,試験管
重量挙げなどで用いる、鉄棒の両端に車輪状のおもりを付けた用具を何という2,サーベル,レーベル,ノーベル,バーベル,バーベル
次のうち、夜巡るときに用いるのはとれ?,オクラ,サクラ,イクラ,マクラ,マクラ
こらえていた怒りの感情が我慢の限界を超えて爆発することを、俗に「何の緒が切れる」という ?,堪宙袋,知恵袋,ポチ袋,"所 穫
月 家",堪宙袋
工業的に重要な「レアメタル」の「メタル」とはどういう物質 ?,金属,織物,磁融,木材,金属
名倉潤・原田泰造・堀内健の三人からなる、お笑い芸人トリオは何 ?,マーキュリー,ネプチューン,ジュピター,ワラヌス,ネプチューン
次のうち、特撮番組の『ウルトラマン』シリーズの作品にあるのはどれ?,ウルトラマンジロウ,ウルトラマンシロワウ,ウルトラマンサブロウ,ウルトラマンタロウ,ウルトラマンタロウ
映画館で映画の上映前に放送される、盗撮禁止を宣伝するCMといえばNeネロ間,映画脱税,映画残業,映画詐欺,映画泥棒,映画泥棒
目が不自由な人の生活をサポートする犬は「〇O〇〇犬」ぴ。 の〇〇は何 ?,もうどう,ほうどう,どうとどう,こうどう,もうどう
夏目直子の漫画『おこしやす、ちとせゼセちゃん』の舞台となっている都道府県はとどこ?,北海首,東京,京都,沖縄,京都
次のうち、土を掘るための道具はどれ 2?,スコンブ,スキップ,スコップ,ステップ,スコップ
江戸幕府の歴代将軍の名字は全て円時,板垣,忠沢,徳川,大塩,徳川
次のうち、車さの単位はどれ ?,ヘクタール,マイル,オンス,ヤード,オンス
シンン4 村ありとすとお生生音を表す擬音語 ?,時計,ラッパ,電車,カミナリ,時計
次のうち、チームスポーツでないのはどれ2?,セパタクロー,ハンドボール,バイアスロン,ラクロス,バイアスロン
アニメ『スポンジ・ボブ』 に登場するパトリック・スターとはどんな生さき物?,ヒトデ,サメ,カニ,マンボウ,ヒトデ
ボウリングのスコアで、「F」と書かれる反則行為は何 ?   「,ファウル,フェイント,フライング,フォールト,ファウル
『西部警察』『あぶない刑事』などに出演した、館プロ所属の俳優は誰 ?,猫ひろし,巡ひろし,阿部ひろし,玉木ひろし,巡ひろし
JR東日本のICカード 「Suica」のマスコットキャラクターになっている島は何 ?,カラス,ハト,ペンギン,ンル,ペンギン
次のうち、大みそかのちょうど]週間前にあたる日はどれ?,バレンタインデー,イースター,ハロウィン,クリスマス・イブ,クリスマス・イブ
映画『おしゃれキャット』に登場するダッチェスはどんな動物 ?,ネコ,サル,イヌ,ネズミ,ネコ
『しずかちゃん」というヒロインがをEiI回角,21エモン,ドラえもん,パーマン,キテレツ大百科,ドラえもん
紀元前を表すBCのCとは誰のこと ?,キュリー夫人,金太郎,君,キリスト,キリスト
ハレーやヘールボップといった種類がある、倫にほうき星とも呼ばれるの トレコルしさたく円4,恒星,直星,衛星,,直星
俳優・香川照之の父である、スーパ一歌舞伝を創始した歌舞伎役者は上:壮4,市川猿却,市川猫益,市川馬益,市川犬義,市川猿却
アリの集団の中で、主に営巣・育旧・食物探集などを担当するものを何という3?,動きアリ,働きアリ,欺きアリ,描きアリ,働きアリ
「新体力テスト」の実施要領で、「反復横とび」は何秒間行われる ?,20日,20秒間,20時間,20分間,20秒間
"クリやハチの協力を得て、カニが親の仙のある動物をこらしめるという内容の昔
HIた和加計4",ねこかに合戦,さるかに合戦,うまかに合戦,わしかに合戦,さるかに合戦
囲碁や将棋で、先に始める人のことを何という ?,番手,上手,先手,後手,先手
田舎の学校に通う子どもたちの日常を描いたあっとの漫画『〇OO〇OO〇びより』。〇〇〇は何 ?,どんどん,ほんほぼほん,こんこん,のんのん,のんのん
スポーツの試合で、計時係を務める「時間記録員」のことを何という 2?,タイムボランチ,タイムディフェンス,タイムフォワード,タイムキーパー,タイムキーパー
こんにゃくの原料となるのは次のとどれ 2?,こんにやゃやく豆,こんにゃやく米,こんにゃく芋,こんにゃやく才,こんにゃく芋
日本の通貨単位「円」はローマ字では普通びのように表記する?2,Ien,に],ql1,yen,yen
大黒天、恵比須、昆沙門天、弁財天、秘禄寿、寿老人、布袋の七邊を総称して何という3?,七金紳,七豊紳,七富紳,七斑旨,七斑旨
松重豊が主人公・井之頭五郎を演じている、テレビ東京のドラマシリーズTOのグルメ』 。〇〇は何 ?,未来,孤独,衝撃,"殺意
も",孤独
「FIFA」と呼ばれる組織は、次のうちどれ2    「,国際テニス連盟,国際バドミントン連盟,国際卓球連盟,国際サッカー連盟,国際サッカー連盟
「風の中のすばる 砂の中の銀河」という歌い出しで始まる、中島みゆさのヒット曲は何 ?,空と君のあいだに,地上の星,わかれうた,時代,地上の星
胃壁から分泌される、無色無臭の消化液を何という?,表液,膝液,嘩液,腸液,表液
次のうち、バレーボールを描いた漫画はどれ2?2,黒子のバスケ,ハイキュー!!,アイシールド21,ROOKIES,ハイキュー!!
次のアイドルグループのうち、NHKの「『紅白歌合戦』で司会を務めたことがあるのはどれ?,KATTUN,V6,嵐,TOKIO,嵐
ゲーム 「『マリオカート8』に登場する次のキャラクターのうち、重量級に分類されるものはどれ?,ヨッンー,ベビイマリオ,キノピオ,ドンキーコング,ドンキーコング
お笑いタレントの裕二、俳優の邦箱、女優の衣奈に共通する名字は回角,田中,佐藤,中井,西田,田中
魚介類を煮込んだ、フランス生まれのスープは「〇O〇O〇つベース」。〇〇のつつは何 ?,アイヤ,ナイヤ,ブイヤ,ガイヤ,ブイヤ
野球のバットで「ヘッド」といえば次のうちどの部分のこと ?,中央部分,グリップ,先端部分,根元部分,先端部分
女王・卑弥呼が統治していたとされる、2世紀から3世紀ごろの日本に存EEH【ひと:た6円有4,奴国,邪馬台国,黒歯,,邪馬台国
漫画『文哀ストレイドッグス』」の登場人物で、「人間和失格」という能力のこうちゅ!】ち : 者4,"ーーーマ  ニ  ーニヒビ
編沢識可",太宰冶,氏川龍之介,沢賢治,太宰冶
水泳の自由形で使われる泳法は一般的に何 ?             「,バタフライ,背泳ぎ,座泳ぎ,クロール,クロール
竜巻よりも小さい、渦を巻く風のことを〇〇〇風という。〇O〇〇は ?,まゆげ,こめかみ,つむじ,みみたぶ,つむじ
「パソコン」の「パソ」とは、何という言葉の略 ?   -,パーソリティ,パートナー,パーソック,パーソナル,パーソナル
次のうち、実際に存在する動物はどれ 2?,オリックス,ヤクルト,ディーエヌエー,ソフトバンク,オリックス
次のうち、関東地方にある工業地和淀はどれ2?,阪利工業地帯,京浜工業地帯,中京工業地帯,北九州工業地帯,京浜工業地帯
石炭やガソリンなど、燃やして熱や光を得る材料を何という ?,衣料,食料,,,
化学式「H20」で表される物質は何?,食塩,アンモニア,二酸化炭素,水,水
アイドルグループ・SKE48が活動拠点を置いている都市はどこ ?,,札幌,,名古屋,名古屋
次の『桃太郎電鉄』シリーズの作品のうち、発売されたのが一番古いものはとれ?,枕太郎電鉄WORLD,枕太郎電鉄20周年,スーパー桃太郎電鉄,桃太郎電鉄USA,スーパー桃太郎電鉄
次のうち、表計算ソフト「Excel」で「かけ算」を表す記号はどれ ?,,米,十,,米
サッカーのワールドカップが開催されるのは何年に一度 ?   「,1年,3年,4年,2年,4年
ファミコンゲーム『ダックハント』で、撃ち落としたカモを拾い上げてくれる動物は何 ?,獲,犬,に,ウサギ,犬
次のうち、四国八十八箇所と呼ばれる霊場をめぐる巡礼者を指す言葉はとれ?,お陸路さん,お道路さん,お退路さん,お刀路さん,お刀路さん
パチンコやパチスロなどの不正行為を指す、「仕事」を略した言葉は回角,シゴ,ゴト,トゴ,ント,ゴト
プロ野球の阪利の親会吐といえば、次のうちどんな会証 ?,"航空会i
L空会計",電鉄会計,アパレルブランド,携帯電話業者,電鉄会計
「やられたらやり返す。倍返しだ ! 」の決め台詞で知られる、堺雅人主演のドラマは何 ?,リーガル・ハイ,年沢直樹,南極大陸,大奥,年沢直樹
闘牛で、闘牛士がな手にもっている布の色は何 ?,黒,赤,"に ゴ
月",日,赤
「割」とも呼ばれる、大相撲の対戦どの: まち 円肝?      「,取説,取捨,取組,取締,取組
物理運動の中でも、速さが0である連動を何という 2?,自由落下,静止,振動,円連動,静止
パソコンの周辺機器で、紙に書かれた文字や図を読み取ったりする装置を何という ?,マウス,キーボード,スキャナ,ハードディスク,スキャナ
次のうち、世界一成長速度が速いといわれる植物はどれ3?,松,梅,艇,竹,竹
「すばらしい」という意味のフランス語は、次のうちどれ2?,イタリアン,ブライアン,トレビアン,エイリアン,トレビアン
ピクサーがガ制作したアニメ映画で、擬人化した車が主人公なのはどれ ?,モンスターズ・インク,バグズ・ライフ,カーズ,トイ・ストーリー,カーズ
サッカーで、  ゴールキーパー以外の10人の選手を総称して何プレーヤーという2,オーディナリー,ランニング,フィールド,オフェンス,フィールド
映画『釣りバカ日誌』シリーズで、西田敏行が演じた主人公の名前は回角,,田沼雄一,浜崎伝助,車責次郎,浜崎伝助
JE間15 所KG 少(/パリシウンシロウは「胸にいくつの傷を持つ男」と呼ばれている 2?,6つ,Sつ,4つ,/つ,/つ
日本では長崎市がセントポール市との間で初めて結んだ、文化交流などを目的とした都市提携は何 ?,姉妹都市,親子都市,従兄弟都市,親友都市,姉妹都市
上杉謙信と対立し、数度にわたって川中島で戦った、戦国時代の武将は上:壮4,"古賀2
源内",起田信玄,吉田茂,,起田信玄
地球は何という天体を中心に公転している ?,火星,太陽,月,木星,太陽
プロ野球やコリーグで、入団を希望する選手がアピールを行う入団テストを何という ?,トライアウト,ノックアウト,パンチアウト,テイクアウト,トライアウト
音楽ユニット・Perfumeの3人のメンバーは、のっち、あてちゃんと誰?,かしゆか,たむゆか,もりゆか,やすゆか,かしゆか
日本で炭酸飲料 『オランジーナ』のCMに出演した俳優は誰 ?,リチャード・ギア,リチャード・サドル,リチャード・ペダル,リチャード・ベル,リチャード・ギア
血圧計で血圧を測る時に、圧迫帯を巻きつける体の部分は次のうちどご2,豆,腕,腹,中,腕
懐かしのギャグ漫画『まことちゃん』の作者は誰 ?,稽川つばめ,税図かずお,山上たつひこ,植田まさし,税図かずお
吉田光由や関孝和が発展させた、日本独自の数学を何という ?,和算,和室,和食,和歌,和算
漫画『巨人の星』 で、主人公の星飛雄馬が投げる魔球の名前は何 ?,プロ野球ボール,大リーグボール,都市対折野球ボール,甲子園ボール,大リーグボール
時速500km超の走行も可能な、磁石の力を用いた電動車は何 ?,ウインドブレーカー,リニアモーターカー,ミランダ・カー,チェーンスモーカー,リニアモーターカー
ルンフェス』を開催し、滋賀県の観光大使にも任命されている歌手は誰 ?,西川貴教,東川貴教,北川貴教,南川貴教,西川貴教
スペインなどのラテンの国々にみられる、長めの昼休憩の習慣を何という?,ファンタジスタ,パスタ,バリスタ,シエスタ,シエスタ
勝敗が市定ではなく、獲得したセット数で決まる競技はどれ ?,ビーチバレー,体操,フィギュアスケート,新体操,ビーチバレー
カメラで写真を撮ったときに画像がほやけてしまうことを何という 2?,パンボケ,ピンボケ,ポンボケ,ペンボケ,ピンボケ
1988年に連載が始まった西森博之の2良漫画『今日から〇は!!』。〇は何 ?,君,俺,私,僕,俺
運命によって結ばれている男女の間でつながっているとされているのはEヨ pの       ヽ,青い糸,日い糸,赤い糸,黒い糸,赤い糸
次のアニメ『サザエさん』の登場人物のうち、会計貞であるのは誰 ?,カツオ,マスオ,フネ,サザエ,マスオ
プロ野球で、将来有請な選手を育てるための枠のことを何という ?,育突枠,発育枠,育成枠,保育枠,育成枠
モテデテルや女優として活躍する、広瀬すずの姉は誰 ?,広瀬トリス,広瀬ハリス,広瀬クリス,広瀬アリス,広瀬アリス
お笑いコンビ、メイプル超合金のカズレーザーのトレードマークといえば何色の衣装 ?,赤,黒,白,"宇
月",赤
次のうち、女性漫画家は誰 ?,ニノ宮知子,寺沢大介,山田貴敏,原秀則,ニノ宮知子
次の肉食動物の中で、ネコ科であるのはどれ2?,ジャッカル,ヒグマ,ハイエナ,ライオン,ライオン
黒色のメラニンなどのように、色が出る原因になる物質を総称して何といつ ?,色素,色々,色紙,色気,色素
食材を粉寿・提拝するために使用される調理器具は何 ?,ミキサー,ギャルサー,テニサー,シーサー,ミキサー
ィルート2」や「円周率m」など、分数の形で表せない数を何という 2?,非力数,駄目数,不能数,無理数,無理数
コリーやシェパードなど、放し飼いの半の群れの番や読導を行う犬を何という2,介助犬,辿察犬,牧羊犬,愛玩犬,牧羊犬
ラーメンの麺がのびる主な原因は、麺が〇〇〇を吸い込むから。〇〇〇は何 ?,水,金,ル,木,水
ジャングルの王和を守るために活躍する少年と動物たちを描いた、東映動画初のテレビアニメ作品は何 ?,北斗の拳,狼少年ケン,六三四の剣,チャージマン研!,狼少年ケン
次のうち、プロ野球で使用が認められているバットの材質はどれ?2,プラスチック製,木製,竹製,金属製,木製
ドイツ北西部の都市で、グリム童話の「音楽際」で知られるのはどこ?,ハンブルク,ミュンヘハン,ベルリン,ブレーメン,ブレーメン
かつてビートたけしとビートきよしが結成していたお笑いコンビの名前は何 ?,スリービピビート,ツービート,フォーピート,ファイブビート,ツービート
次のうち、普通、沖縄料理の「タコライス」には使われない具材はどれ?,レタス,ライス,タコ,トマト,タコ
途中区間の運賃を支払わずに電車などに乗車することを何という ?,キセル乗車,キル乗車,ヌガス乗車,メグ乗車,キセル乗車
次のうち、背中にコブがあるのかがガ特徴の動物はどれ ?       「,マクラ,ラクダ,オクラ,イクラ,ラクダ
ひださらい=【クたEi【のjpる28半*くひこが主人公である作品はどれ ?  「,ブラック・ジャック,バ しぎなメルモ,三つ目がとおる,鉄腕アトム,バ しぎなメルモ
警察がスピード違反を取り締まることを、俗に何という 2?,ウサギとり,ネズミとり,ヒツジとり,イタチとり,ネズミとり
リレー競技で、最後に走る人のことを何という?,アンカー,タッカー,ツーカー,ハイカー,アンカー
三代目J Soul Brothersの7人のメンバーのうち、ボーカルは何人 ?,7人,3人,5人,2人,2人
レオ・レオニの絵本『スイミー』の主人公はどんな生き物 ?,かえる,いぬ,ねこ,さかな,さかな
原則として毎週日曜日の21時より放送されている、NHKのドキュメンタリー番組は何?,NHKスーパー,NHKスペンシャル,NHKハイパー,NHKウルトラ,NHKスペンシャル
国民、厚生、共済などの種類がある、老後に定期的に支給されるる金銭といえば何 ?,年鐘,年鉛,年鉄,年金,年金
ボウリングで、「ノーヘッド」という時、ボールがヒットしなかったピンは何番ピビン ?,1番ピン,3番ピン,8番ピン,10番ピン,1番ピン
「ビッグエッグ」という愛称がある日本初のドーム型野球場はどこ ?2,東京ドーム,蛋岡ドーム,ナゴヤドーム,札幌ドーム,東京ドーム
「随筆」ともいう、目分の気のおもむくままに思ったことや見聞きしたことをまとめた文章は何 ?,エッセイ,トリック,ストーリー,バッドエンド,エッセイ
大相撲の番付で、最も位が低いものは何 ?,序ノ耳,序ノロ,序ノ算,序ノ目,序ノロ
ザ・タイガースのメンバーで、シロー、一徳といえば名字は何 ?,岸部,沢田,森本,加橋,岸部
"一般に「恐竜」を
童」を大きく2つに分類すると、竜般類と何 ?",人毅類,申盤類,,,
血液の成分が作られる、骨の内部にある組織といえば何 ?   ー,骨央,骨核,"骨 た
IMN",骨身,骨身
陸上の走り高跳びで、バーの上で腹ばいになるような体勢で跳ぶジャンプの方法を何という ?,シャドーロール,エンドロール,ベリーロール,トリコロール,ベリーロール
ドラマ『誰かが彼女を愛してる』の主題歌であった、中山美穂&WANDSC曲は何 ?,地球中の誰よりきっと,世界中の誰よりきっと,宇宙中の誰よりきっと,日本中の誰よりきっと,世界中の誰よりきっと
毎年1月1日は、何という委日 ?,止月,元日,初日,若水,元日
ひざを曲げ腰を落とした体勢で前へをとって何という ?,うさぎ跳び,ひつじ跳び,さきつね跳び,からす跳び,うさぎ跳び
次のうち、地球上の水の大邊が存在する場所はどれ2,大気中,地下,海洋,湖沼,海洋
次のうち、病院で診察を受ける時に宗口に提出するのはどれ?,学生証,保険証,免許証,吐員証,保険証
ボクシングで、セコンドがタオルをリングに投げ入れた場合の意味は、のひjpまっず< 4,試合放棄,相手への敬意,勝利宣言,ジャッジへの異議,試合放棄
代表曲に !WHITE BREATH」などが#4る、西川貴教を中心に活動する音楽プロジェクトは何 ?,PM.Revolution,S.M.Revolution,TM.Revolution,A.M.Revolution,TM.Revolution
2016年に実写化されたマキノの漫画うくんの言いなりになんてならない』。〇〇は何 ?,白崎,,青崎,黒崎,黒崎
アミラーゼやペプシンなどのような、消化を促進する酵素を総称して何という3?,加水分解酵素,酸化酵素,脱水素酵素,消化桂素,消化桂素
毎年11月に関東地方の御往で開かれる、緑起物の「熊手」が売られることでおなじみの年中行事は何 ?,西の市,辰の市,寅の市,婦の市,西の市
中東の国・アフガニスタンの首都はとどこ?2,ナグール,モグール,サポボール,カブール,カブール
次のうち、アガサ・クリスティの小説はどれ?2          「,ポートピア連続殺人事件,曰ゆき姫殺人事件,オリエント人急行殺人事件,後島人伝説殺人事件,オリエント人急行殺人事件
映画『ミニオンズ』に登場するミニオンズたちの体の色は何色 ?,赤色,黄色,青色,日色,黄色
次のうち、通常、週に1回発売されている漫画雑誌はどれ?,少年マガジンR,月刊少年マガジン,別冊少年マガジン,週刊少年マガジン,週刊少年マガジン
柴田亜美の漫画『南国少年パプワく<ん』の主人公・パプワくんはどんな生き物?,鯛,人間,かたつむり,犬,人間
国友やすゆきの漫画『総理の椅子はどんな世界を舞台にした作品?_,政界,球界,楽界,芸能界,政界
次のうち、スポーツで、勝負に降参することを意味する言葉はどれ3?,ギブアップ,タッチアップ,パワーアップ,タイアップ,ギブアップ
アニメ『「それいけ ! アンパンマンで、次のうちアンパンマンの仲間で29夫Y】た中 : 所4,メロンパンナ,ばいきんまん,カレーパンマン,しょくばんまん,ばいきんまん
次のうち、「編は内、鬼は外」 と言いながら豆をまく風特がある行事はとれ?,部分,秋分,野分,春分,部分
関門海峡の「門」が指す「門司」といえば、どこの都市にある地名 ?,宇都宮市,北九州市,名古屋市,相模原市,北九州市
IC乗車券の「ICOCA」を開発した鉄道会往はどこ2       「,JR北海道,JR東日本,JR西日本,JR九州,JR西日本
