Q,K1,K2,K3,K4,A
テレビ番組『情熱大陸』のメインテーマの作曲を手掛けた葉加瀬太郎は、何の演奏家 ?,トランペット,バイオリン,ピアノ,クラリネット,バイオリン
「TNo.5」や「No.19」などの香水で知られるファッションブランドは回角,プラダ,アルマーニ,グッチ,シャネル,シャネル
古代中国で同盟を結ぶ際に行われた習慣に由来する、団体の支配者になることを指す言葉は何 ?,和牛耳を執る,犬省を執る,豚鼻を執る,猫古を吾る,和牛耳を執る
次のうち、スポーツにおいて、「相手の選手との距離」という意味がある言葉はどれ ?,わあい,はあい,たあい,まあい,まあい
マゼランやフンボルトなどの種類がある、水族館などでも人気の島は回角,フラミンゴ,カモメ,ハクチョワウ,ペンギン,ペンギン
マグロの赤身を酢飯と海苔で巻いた巻き寿司を何という ?,銅火巻,金火巻,鉄火巻,銀火巻,鉄火巻
ゲーム !『ワールドサッカー ウイニングイレブン 2014』の副題『CX)侍の挑戦』の〇〇は何 ?,和弥き,黒き,含さ,日き,含さ
石炭や重油を燃焼させることでタービンを回し、電気を作ることを何という2,魔力発電,水力発電,火力発電,電力発電,火力発電
「ウナギイヌ 」というキャラクターが登場する、赤塚不二夫の漫画は回角,天才バカボン,鉄腕アトム,銀河鉄道999,ドラえもん,天才バカボン
"登山家の中でも、高度な技術で高難見度の登
登山に
に挑む人のことを特
に何という2",アンディニスト,ロッキニスト,ヒマリニスト,アルピニスト,アルピニスト
「持株会往」を意味する言葉「〈)〇カンパニー」。O〇〇〇は何 ?,ホールディング,テイキング,ハビング,キャッチング,ホールディング
スポーツなどで、失敗した人を励ますためにもちいる言葉はどれ2?,ドンマイ,シンマイ,ゼンマイ,センマイ,ドンマイ
次のファミコンゲームのうち、野球ゲームはとどれ?,ベースボールスター,脱獄,1943,マインドシーカー,ベースボールスター
声優の豊崎、タレントのほしのに共通する名前は何 ?,あさ,はる,で ゆ,なつ,あさ
女子の日本代表チームを、「なでしこジャパン」と呼ぶスポーツは何 ?,野球,新体操,サッカー,カーリング,サッカー
NHKで、生日夜9時から放送されているニュース番組は何 2,ニュースキャッチ9,ニュースグッチ9,ニュースタッチ9,ニュースウオッチ9,ニュースウオッチ9
プロ野球で、病気や怪我を乗り越え再び活躍した選手に贈られる賞は回角,カムバック賞,リバイバル賞,レトロ賞,ロートル賞,カムバック賞
次のうち、ウナギの養殖で有名な静岡県の湖はどれ ?,京名湖,阪名湖,葉名湖,浜名湖,浜名湖
次のうち、「同等、同じ」という意味があるゴルフ用語はどれ ?,フェアワウェイ,パー,パター,バンカー,パー
怒りや不満を、無関係の人に向けて発散することを「何当たり」という?,六つ当たり,八つ当たり,七つ当たり,五つ当たり,八つ当たり
人間にある胃の数はいくつ?,2Zつ,4つ,3つ,1つ,1つ
元笑相の竹下登を宜父に持つ、ロックバンド「BREAKERZ」のボーカルに上:壮4,MAIGO,DAIGO,KENGO,SHINGO,DAIGO
食べものや飲みもので「糖分ひかえめ」と言えば、何の量が少ないこと?,さとう,しお,あぶら,こしょう,さとう
山ちゃんとしずちゃんの2人からなる吉本のお笑いコンビ、南海〇〇〇つ。〇〇の〇は何 ?,キャンディーズ,キャプテン,ピンクレディー,ピーナッツ,キャンディーズ
"生物が、世代
、世代を経る中で、環境に合わせて体を変化させていくことを何という2",深化,老化,劣化,進化,進化
モデルからデザイナーに転身した政美を主人公とする漫画 『デザイナー』の作者は誰 ?,一条ゆかり,三条ゆかり,四条ゆかり,二条ゆかり,一条ゆかり
次のうち、かつて「陸奥国」と呼ばれていた地方はどれ2,東北地方,関東地方,九州地方,東海地方,東北地方
ラジオの司会者を意味する「DJ」とは、「ディスク〇のO〇O〇」 。 のOO〇OOは ?,ジョッキー,ジョーカー,ジャージー,ジャーキー,ジョッキー
"かか              ーーョ
かとの部分が高くなった靴のことを何という2    ー",ハイヒール,ハイカット,ハイボール,ハイテンション,ハイヒール
人気バンド「MAN WITH A MISSION」のメンバー。 身体は人間ですが、頭はどんなお動物という設定 ?,ヒツジ,オオカミ,ブタ,ワシ,オオカミ
沖縄県に生息する飛べない鳥「てCO)〇っクイナ」。〇〇〇は何 ?,ハルバル,ヤンバル,ガンバル,ヨクバル,ヤンバル
カエルやイモリは何類の生き物 ?,路乳類,,,両生類,両生類
010』Eにゴゴ:もmfc多ゆけ/eウルキルレ:さと作して山田家の住人の血を吸うゲームは何 ?,紀,虹,蜂,到,到
中央アジアを通る「シルクロード」は、どんな物品を運んだことにちなんで名付けられた ?,毛糸,費,絹,麻,絹
野球で、走者をさらに先の塁に行かせるための打撃のことを何という ?2,進撃打,進軍打,進較打,進学打,進較打
ティーン・ケーメンが発明した、体重移動によって運転する電動立ち乗り二輪車は何?,マルウェイ,タブウェイ,セグウェイ,リムウェイ,セグウェイ
次のうち、ゲーム 『マリオゴルフワールドツアー』に登場しないキャラクターはとれ?,カービィ,ドンキーコング,ピーチ,ワリオ,カービィ
俗に、出場機会のない野球選手が「温める」といわれるものは何 ?,スパイク,ベンチ,グローブ,バット,ベンチ
漫画『ドラゴンボール』に登場するマジュニア。彼のお父さんは何大魔土 ?,オカリナ大魔王,ピッコロ大魔王,チャルメラ大魔王,フルート大魔王,ピッコロ大魔王
SAと略される、高速道路にある給油・食事・手洗いなどの設備を整えた休憩所は何 ?,サービスエリア,インターチェンジ,パーキングエリア,ジャンクション,サービスエリア
女性漫才コンビ、いくよ・くるよと具ときたとうにゴちく円7,"どっ
ープ",東,中,春,"どっ
ープ"
次のうち、バット、グローブ、ボー月るEpXのの】ちす2光時7,卓球,テニス,野球,サッカー,野球
藤沢とおるの漫画『湘南純愛組 ! 』で、主な舞台となっているのは何県 ?,奈川県,千葉県,静岡県,埼玉県,奈川県
次のうち、元々は、映画業界で「快晴」を指した言葉はどれ ?,ビピーカン,タータン,ビピータン,ワータン,ビピーカン
リトマス試験紙で羊別する性質で、「アルカリ性」の反対は何 ?,性,酸性,陽性,母性,酸性
紳木隆之介が主演した映画『桐島、〇つつ〇つ〇やめるってよ』。〇〇〇に入とを:ちゃ 閉4,クイズ,バイト,部活,受験,部活
料理番組『キユーピー3分クッキング』のテーマソングとして知られる、イエッセルの曲は何 ?,おもちゃの兵際のソナタ,おもちゃの兵際のタンゴ,おもちゃの兵隊のマーチ,おもちゃの兵際のワルツ,おもちゃの兵隊のマーチ
映画 『グラン・ブルー』や『レオン』 に主演した、フランスの俳優は上:壮4,ジャン・コクトー,ジャン・レノ,ジャン・ギャバン,ジャン・バルジャン,ジャン・レノ
しアルリリ【ひ5ミトさ<の【ク) トクアミにさとタん全て等しい四角形はどれ ?,長方形,正方形,座行四辺形,ひし形,正方形
オーストラリアにある、観光地としたうめも:の】ニレマン=定の!⑨(@】m 5ク」。〇の〇〇は何 ?,ドアーズ,レアーズ,エアーズ,ツアーズ,エアーズ
『クレヨンしんちゃん』の劇場版『爆発 ! 温泉わくわく大決戦』のエンディング曲は何 ?,いい湯だな,ひまわりの家,こんな時こそ焼肉がある,元気でいてね,いい湯だな
野球やゴルフなどで、動作の瞬間にはたらかせる手首の力のことを何という ?,スナッチナチ,スナック,スナッグ,スナップ,スナップ
アニメ 『シティーハンター』の主人公、湖秘猿の声を演じた声優は誰 ?,千葉繁,利谷明,二又一成,古川登志夫,利谷明
ヨーグルトの名前にもなっている、イランやカザフスタンに囲まれた世錯最大の湖は何 ?,紅海,カスピ海,地中海,妹海,カスピ海
「明治」と「昭和」の間にあった、日本の元号は何2 。,大将,大勝,大,大正,大正
本田圭佑、長友佑都、香川真司といえば何の選手?   ー,水泳,野球,サッカー,マフソン,サッカー
ロシア語で「水」という意味がある、アルコール度数の高い蒸留酒は回角,ウォーム,ウォッチ,ウォーク,ワウオッカ,ワウオッカ
次のうち、オットセイに似た動物はとれ?,アシバ,アンユ,アシピ,アシカ,アシカ
沖縄や奄美大島では、ハブを退治するために持ち込まれた、別名を「ネコイタチ」という動物は何 ?,レッサーパンダ,ミーアキャット,マングース,アライグマ,マングース
結婚披露宴で、新郎新婦が宴の途中で衣装を変えることを何という?,お色直し,お香直し,お花直し,お楽直し,お色直し
次のうち、「酸性雨」による直接の被天はどれ ?   -,南極の氷が溶ける,オゾン層が破壊される,魚が増えてしまう,条林が枯れてしまう,条林が枯れてしまう
お酒をやめることができない人を指す言葉「〇〇〇中毒」。 〇〇〇は回角,アルコール,アンコール,マンホール,ダンボール,アルコール
短時間に狭い地域で降る大量の雨のことを、奇襲に例えて何という ?,アタック杏雨,レンジャー愛雨,ゲリラ豪雨,サプライズ裏十,ゲリラ豪雨
のどぼとけのことを、西洋では「アダムの何」という?,ブドウ,トマト,メロン,リンゴ,リンゴ
横山裕二の漫画『十勝ひとりぼっち暑園』」の舞台となっている都道府県はとご2,沖縄県,北海道,石川県,和歌山県,北海道
フジテレビの番組『全力 ! 脱カタイズ』でMCを務めているお笑い芸人は上:壮4,有田哲在,太田光,田村淳,後藤輝基,有田哲在
命日を「ゲゲゲ忌」という漫画家は誰?,水木しげる,石ノ森章太郎,手塚治虫,藤子・F・不二雄,水木しげる
次の調味料のうち、普通、辛いものはどれ ?,シナモン,タバスコ,酢,砂糖,タバスコ
auの「三太郎」のCMで、桃太郎を演ている俳優は誰 ?,桐谷健太,松田翔太,賞田将晶,演田岳,松田翔太
地球の体積の8割近くを占める、地穀と核の間にある層の名前は何 ?,マンジュワウ,マンボウ,マンモス,マントル,マントル
漫画 リドラえもん』で、ジャイアンの妹のジャイ了が目指している職業は何 ?,声優,漫画家,ファッションモデル,総理大臣,漫画家
おなじみの早口言葉「生麦、生米、〇つつ」。〇の〇つ〇に入る食べ物は回角,生ハム,生肉,生卵,生野楽,生卵
ゲームメーカーの任天堂が本視を構2る関西の市は何市 ?,大阪市,利戸市,京都市,奈良市,京都市
家庭的な様子のことを「〇〇〇ホーム」。〇〇〇は何 ?,バット,ホット,カット,アット,アット
おバカユニット 『!Pabo」のメンバー[なったことがないのは誰?,木下優樹楽,スザンヌ,里田まい,若槻千夏,若槻千夏
カタカナ語の中でも「和製英語」といえば、どこの国で生まれた言葉 ?,オーストラリア,アメリカ,日本,イギリス,日本
元禄文化といえば、何時代に栄えた文化 2,鍵昼時代,江戸時代,明治時代,奈良時代,江戸時代
次のうち、いわゆる「探点競技」はとれ?,ゲートボール,スピードスケート,野球,体操,体操
スパゲッティやマカロニといえは、0ひ】EHTの75:革/,ブラジル,イタリア,オーストラリア,モンゴル,イタリア
ドラマ「『邊沢直樹』で、主人公・牛け直樹を演じた俳優は誰 ?,佐々木蔵之介,長谷川博己,堺雅人,西島秀俊,堺雅人
合気道が生まれた国はどこ 2?,日本,タイ,ベトナム,韓国,日本
最初に並べた数字に続くように順番にカードを出していくトランプゲームは何 ?,三並べ,巧並べ,九並べ,五並べ,巧並べ
水面に弱い風が吹いてできる細かい波を何という ?,引き波,さざ波,三角波,砕波,さざ波
冬李五輸で行われるスキージャンプの2種目とは、ノーマルヒルと何 ?,ラージヒル,フライングヒル,ミドルヒル,ショートヒル,ラージヒル
7人組ダンス&ボーカルユニット、三代目Jつ〇つ〇Brothers。〇〇〇に入とを:ちゃ 閉4,JaZZ,R&B,Pop,Soul,Soul
次のうち、野球で、投手が狙ったところにボールを投げる能力はどれ ?,包容力,消臭力,制球力,紳通力,制球力
パソコ ン で、 レアル あこ0/ とルダのサイズを小さくする操作を何という2,濃縮,分割,分散,圧縮,圧縮
次のうち、コンピューターに文字を入力するための機器はどれ?2,ギター,ドラム,キーボード,ベースズ,キーボード
ゲーム 『スーパーマリオブラザーズ』で、マリオは花を取るとどんなことができる?,火の玉を出す,しゃがむ,ハンマーを出す,空を飛ぶ,火の玉を出す
アメリカの国旗に使われている色は、赤、青と何色 ?,緑,黄,紫,日,日
ラテン語で「大きさ」という意味がある、地圭のエネルギーの大きさを表わす指数は何 ?,マグニチュード,マグノックス,マグネシウム,マグネトグラフ,マグニチュード
IF:aしにゴfhきリムY 還にド-ゴRCのにヘレナ島に追放された、フランスの車人は誰 ?,ハンニバル,シーザー,アレキサンダー,ナポレオン,ナポレオン
プロ野球・中日の応援歌の名称は次のうちどれ2?       「,消えよドラゴンズ !,強えよドラゴンズ !,集えよドラゴンズ !,燃えよドラゴンズ !,燃えよドラゴンズ !
EPSときりた3のた6区=|名なワタナベエンターテインメント所属の人物は誰 ?,柳原可奈子,近有藤春楽,やしろ優,大島美幸,やしろ優
アイスホッケーで使われる、円柱型のゴムを何という 2?     「,パック,ピック,ペック,ポック,パック
武田信玄が陣中食にしたという「ほうとう」は、何県の郷土料理 ?,忠岡県,静岡県,山口県,山礎県,山礎県
集団内で特に優れている3人のことを、ある鳥を使って何という ?,三牧スズメ,三物カモメ,三物ツバメ,三狗ガラス,三狗ガラス
靴を履く際などに足に直に履く衣類を何という ?   「,時,時上,靴左,寺石,時
トルコ料理の「シシケバブ」や北海道の「ジンギスカン」で使われるの回の】内用4,イノンシンン,ヒツジ,ウマ,イヌ,ヒツジ
苦い粉薬を包んで飲みやすくする、薄いデンプン肛を何という ?,オブラート,オブライエン,オプチミスト,オブリガート,オブラート
モース硬度でもっとも硬い「硬度10」の標準物質とされる物質は何 ?2,オパール,ダイヤモンド,トパーズ,コランダム,ダイヤモンド
お笑い番組 『〇〇〇のガキの使いやぁへヘへんで! 。〇〇つO〇は何 ?,ナインティナイン,爆笑問題,ダウンタウン,ココリコ,ダウンタウン
次の陸上競技の種目ひかうち、1人ではでさないのはとれ2?,砲丸投げ,三段跳び,800m,4x400mリレー,4x400mリレー
次のうち、「エクスクラメーションマーク」はどれ ?,90,&,,半,
次のうち、1月7日に、刻んでお敵に入れて食べる風特があるのはどれ?,春の七草,秋の七草,夏の七草,冬の七草,春の七草
子宮内で赤ちゃんを取り囲んで保護する液体を何という 2?,牛水,獲水,馬水,羊水,羊水
「申眼鏡」は、次のうち、主にどんなときに使う道具 ?,穫明なものを見るとき,小さいものを見るとき,明るいものを見るとき,遠くのものを見るとき,小さいものを見るとき
医師や化学者が着る上着を、それがどんな色であろうと一般的に何という?,緑衣,青衣,白衣,黒衣,白衣
次のうち、ヨーロッパの国はどれ ?,ソイツ,コイソツ,ドイツ,アイツ,ドイツ
お笑いコンビのロッチかが声を演じる、「dポイント」のCMに登場するキャラクターは何 ?,ポオウム,ポインコ,ポブンチョウ,ポニワトリ,ポインコ
培宮之と土屋伸之の2人からなるお笑いコンビは何 ?,クイーン,ポンス,キングス,ナイツ,ナイツ
アニメ『ドラえもん』で、ジャイアンの声を演じている声優は誰 ?,木村史,関智一,松本保典,高木小,木村史
次のうち、ギャグ漫画に分類されるのはどれ2?,野球狂の詩,天才バカボン,デビルマン,うしろの百太郎,天才バカボン
陸上の400mハードルで、跳び越すハドルは全部で何台 ?,26台,34台,10台,19台,10台
父を探すためにハンターになった、漫画 『HUNTERxHUNTER』 の主のた本 記一アスリピニンルレ9/,ガン,ゴン,ビン,ジン,ゴン
陸上競技で、オリンピックでは50km20kmで行われる種目は何 ?,マフソン,説歩,障害走,トライアスロン,説歩
「ウィッグ」や「かつら」といえば、普通体のどこに取り付けて使うの放,膝,局,つま先,頭,頭
レストランやナイトクラブなどが集中する繁華街である、東京都港区中部の町は何 ?,八本木,二本木,導本木,五本木,導本木
ピポザルというキャラクターが登場する、ソニー・コンピュータエンタテインメントのゲームは何 ?,4|,パラッパラッパー,どこでもいっしょ,サルゲッチュ,サルゲッチュ
大相撲の本場所において、初日、中日、千秋楽はいずれも何果日にあたる ?,月曜日,日曜日,土曜日,金曜日,日曜日
宛・リチャード、妹・カレンからなる、アメリカの兄妹デュオは何 ?,カーペンターズ,レ・フレール,ビリーバンバン,企川地一丁目,カーペンターズ
次のうち、漫画 『ドラえもん』に登したひみつ道具ではないのはどれ2?,スモールライト,どこでもドア,航時機,アンキパン,航時機
加箇利や大森などが有名な、縄文人が捨てたゴミが積もった遺跡を何という ?,貝塚,旬塚,,を,貝塚
「BLTサンド」の、「B」はベーコン、「L」はレタスのことですが、「T」は何のこと?,タマゴ,トースト,タマネギ,トマト,トマト
洗川が流れ込む湾はどこ?,伊勢湾,鹿児島湾,大阪湾,東京湾,大阪湾
かつてF1グランプリも開催されたサーキット「富士スピードウェイ」があるのはどこの都人道府県 ?,広島県,静岡県,徳島県,栃木県,静岡県
「ノブコブ」と略されるお笑いコンビ「〇〇ノブシコブシ」。〇〇に入とを:ちゃ 閉4,在成,大正,明治,昭和,在成
ビートたけしのギャグでのおなじみの、ルーマニアの元体操選手は誰 ?,チャスラフスカ,ジョイナー,イナ・バウアー,コマネチ,コマネチ
次のうちドイツにない都市はどれ?,シンガポール,フランクフルト,ミュンヘハン,ベルリン,シンガポール
喧嘩をした者は双方とも処罰するという意味の言葉「喧嘩両つ〇」。〇に入る言葉は何?,成敗,処分,手打,仕置,成敗
テレビ朝日 『やべっちFC』は、どんメスポーツに関する情報番組 ?,テニス,ゴルフ,野球,サッカー,サッカー
有名人に四字熟語のあだ名をつける技でも注目を浴びたモデル・タレントは誰 ?,藤田ニコル,トリンドル玲奈,滝沢カレン,ダレノガレ明美,滝沢カレン
パソコンのキーボードで、「F1」や「F2」と書かれたキーを総称して何という2,フェイバリットキー,フルキー,"ファンク>
ションキー",ファンダメンタルキー,"ファンク>
ションキー"
「エッグベネディクト」や「ポーチドエッグ」に欠かせない食材は次のうちとれ?,海苔,海老,豆腐,卵,卵
こじるり、という愛称でおなじみのホリプロ所属の女優は誰 ?,小嶋陽打,小嶋達也,児島明子,小島瑠璃子,小島瑠璃子
台湾で、『蜂蜜幸運草ヨというタイトルで実写ドラマ化された漫画は回角,ハチミツとクローバー,化より男子,のだめカンタービレ,NANA,ハチミツとクローバー
久米島、西表島、波照間島などの島がある都道府県はどこ ?,静岡県,沖縄県,東京都,和歌山県,沖縄県
二階営ヒカルの漫画『へブンズランナーアキラ』の主人公の名前は何 ?,綿叶陣,武将影アキラ,大八木将司,品崎隼人,武将影アキラ
"野球のポジションの「レフト」を、日本語 R
語では何という 2?      「",右細手,左介手,中堅手,遊撃手,左介手
次のうち、「すれちがい通信」という機能が搭載されているゲーム機はとれ?,ゲームボーイアドバンス,WiiU,ゲームキューブ,ニンテンドー3DS,ニンテンドー3DS
テニスの試合で、男女のペア同士で邊うダブルスの試合のことを何という <?,インダブルス,ウィズダブルス,"ノ
/",ミックスダブルス,ミックスダブルス
目動車や家電製品メーカーが、不恨品を無料で回収・修理することを何という2,バコール,ワコール,オコール,リコール,リコール
「マモ」という愛称で呼ばれる、人気の男性声優は誰2,小野大輔,宮野真守,争木達央,利谷浩史,宮野真守
一般的なサッカーボールの表面を橋成する2種類の図形は、正五角形と回角,正三角形,正七角形,正導角形,正四角形,正導角形
テニスの試合で、ミックスダブルスといえば、コートに立つ女性選手は何人 ?,2人,0人,3人,1人,2人
俳優兄弟の佑と時生の名字は何 ?,城田,柄本,佐藤,大谷,柄本
ツツジ科の沙葉低木で、藍色の実がジャムやジュースに加工されるのは回角,イエローベリー,グリーンベリー,ブルーベリー,レッドベリー,ブルーベリー
わんこそば、じゃじゃ麺といえば、何県の名物料理 ?,鳥取県,石川県,岩手県,茨城県,岩手県
日本で最も面積の大きい湖は?,サロマ湖,中禅寺湖,琵琶湖,霞ヶ清,琵琶湖
次のうち、『週刊少年ジャンプ』」と同じ出版和計が発売している漫画雑誌はとどれ?,ウルトラジャンプ,ヤングアニマル,ビッグコミック,アフタメヌーン,ウルトラジャンプ
ジェットエンジンを推進装置とする航空機は何 ?  「,プロト機,プロペラ機,ガソリン機,ジェット機,ジェット機
次のうち、ある空間に存在できる水蒸気の質量を表した言葉はどれ2,朗商水蒸気量,人差水蒸気量,郎積水蒸気量,分和水蒸気量,分和水蒸気量
「つけ麺」の「麺」は、普通、どんな種類の麺?,フーメン,そば,ビーフン,スパゲッティ,フーメン
蛇に例えて「うわばみ」といわれるのはどんな人 ?   -,お金持ち,うそつき,大酒飲み,太った人,大酒飲み
大自然の映像を紹介するNHKのテレビ番組『〇OO〇〇が来た!』。 つの〇の〇のは何 ?,ガリレオ,ダーウィン,エジソン,ニュートン,ダーウィン
次のうち、甲殻類の生き物はどれ ?,ヤドカリ,ヤモリ,コウモリ,イモリ,ヤドカリ
人間の指で、小指の隣にあるのは何指 ?       ー              「,中指,親指,薬指,人差し指,薬指
火事現場などで、人が手渡しで順々に水を運ぶリレーを何という ?2,ホケツリレー,カケツリレー,バケツリレー,ヒケツリレー,バケツリレー
和牛や填の肝臓の肉のことを英語で何という ?     「         「,レバー,リ バー,ラバー,カバー,レバー
次のうち、1チームの人数が最も少ないスポーツはどれ2?,アメリカンフットボール,バスケットボール,ラグビー,サッカー,バスケットボール
「ジェイロー」という愛称でも呼ばれる、アメリカの歌手・女優は誰 ?,ジェニファー・ロロペス,マライア・キャリー,ブリトニー・スピアーズ,ミランダ・カー,ジェニファー・ロロペス
アメリカの武力征服に対する抵抗で知られたジェロニモといえば、何とロビコミゴルさゆ】三Eこ守4,イノッチ族,スイッチ族,クラッチ族,アパッチ族,アパッチ族
チューリップやヒヤシンスにある、養分を蓄えて肥大化した地下部を何という2,球根,円雛根,円柱根,トーラス根,球根
NHK BSプレミアムで放送された、架空の虫を主人公としたアニメ !C)〇かじり虫』。 のの〇は何 ?,あたま,おなか,うで,おしり,おしり
2016年公開の劇場版『名探偵コナン』のタイトルは何 ?,新・のび太の日本誕生,ガンバと仲間たち,イタリアから来た少年,純黒の悪夢,純黒の悪夢
レモニンルアーニニトク 時おいとすと 8んな魚を使った料理 ?,マス,サケ,サバ,タラ,サケ
次のうち、加山雄三のヒット曲はどれ 2?,舌人よ,偉人よ,旅人よ,法人よ,旅人よ
青森で夏に行われる祭りは「〇〇O〇まつり」。〇〇〇は ?,ねとり,ねぶた,ねうし,ねうま,ねぶた
「おたふくかぜ」といえば、次のうち、どこが腫れる症状で知られる病気 ?,耳のト,足の裏,お腹の周り,頭の上,耳のト
原爆の投下を庶民生活の日常的語点からとらえた、井伏能二の長編小説は何 ?,黒い雨,黄色い雨,青い雨,日い十,黒い雨
ラグビーで、「PG」と表記されるプレーは何 ?,パートゴール,ポータブルゴール,プロテクトゴール,ペナルティゴール,ペナルティゴール
メジャーリーグで「サイ・ヤング賞」を受賞できるポジションはどご2,捕手,内野手,投手,外野手,投手
次のゴルフクラブのうち、普通、最も飛距離が出るものはどれ ?,5番ウッド,1番ウッド,3番アイアン,パター,1番ウッド
サッカーで、俗に「信る」といえば、次のうちどんなプレー ?,激しいチャージ,汁をたくさんかく,水分を補給する,口汚いヤジ,激しいチャージ
国家公務員控用!種試験に合格し、中央省庁の幹部候補として控用された公務員を俗に何という?,セレブリティ,エキスパート,ブルジョア,キャリア,キャリア
映画を、一般公開の前に、特定の観客に見せる催しを何という ?,大納会,歓迎会,"Aぬ4 すそへ、
子款玄",試写会,試写会
シミュレーションゲーム『大航海時代』。 舞台となっているのは何世紀の世界 ?,21世紀,11世紀,16世紀,3世紀,16世紀
「後ろ髪を引かれる」といえば、次のうちどんな状態を指す言葉 ?,髪がとても伸びている,心残りがある,早く出て行きたい,強く引き留められる,心残りがある
妖退治の一族に生まれた亜村良守を主人公とする田辺イエロウの漫画は回角,結界師,うえさの法則,お茶にごす。,はじめてのあく,結界師
片方に分鍋を、もう片方に重さを計りたいものを乗せて使う理科の実駿娠具は何?,ビュレット,コニカルビーカー,上中てんびん,ピペット,上中てんびん
チョコレートの原料となる植物は円時,カカオ,カカン,カカリ,カカト,カカオ
にしうら染の漫画『前略、パリは甘くて苦いです。』の舞台となっている国はどこ ?,フフランス,イギリス,イタリア,ドイツ,フフランス
